,date,symbol,TotalBalance
0,2020-01-07,XRPUSDT,10028.751953382
1,2020-01-08,XRPUSDT,10069.519295052005
2,2020-01-09,EOSUSDT,9999.96929732
3,2020-01-09,LTCUSDT,10000.497966136
4,2020-01-09,XRPUSDT,10076.352645792003
5,2020-01-10,EOSUSDT,10002.269892459999
6,2020-01-10,LTCUSDT,10001.487908732
7,2020-01-10,XRPUSDT,10083.441308144005
8,2020-01-11,EOSUSDT,10002.239209259998
9,2020-01-11,LTCUSDT,10003.47257894
10,2020-01-11,XRPUSDT,10098.445875170002
11,2020-01-12,EOSUSDT,10005.59019122
12,2020-01-12,LTCUSDT,10006.434804481998
13,2020-01-12,XRPUSDT,10106.715895314006
14,2020-01-13,EOSUSDT,10011.195679260001
15,2020-01-13,LTCUSDT,10007.819003604
16,2020-01-13,XRPUSDT,10108.802886672007
17,2020-01-14,EOSUSDT,10012.321982460002
18,2020-01-14,LTCUSDT,10008.320217514
19,2020-01-14,XRPUSDT,10118.445681958001
20,2020-01-15,EOSUSDT,10025.015362820004
21,2020-01-15,LTCUSDT,10014.602742173996
22,2020-01-15,XRPUSDT,10146.453589261999
23,2020-01-16,EOSUSDT,10029.500566380006
24,2020-01-16,LTCUSDT,10023.83257918799
25,2020-01-16,TRXUSDT,10001.70031155
26,2020-01-16,XRPUSDT,10181.663387547995
27,2020-01-17,EOSUSDT,10032.879097740008
28,2020-01-17,ETCUSDT,10061.887395413998
29,2020-01-17,LTCUSDT,10026.278565771987
30,2020-01-17,TRXUSDT,10006.881822686002
31,2020-01-17,XRPUSDT,10207.941057600006
32,2020-01-18,EOSUSDT,10040.71439652001
33,2020-01-18,ETCUSDT,10171.007314706003
34,2020-01-18,LINKUSDT,10005.429134373997
35,2020-01-18,LTCUSDT,10034.853846801989
36,2020-01-18,TRXUSDT,10011.982054422002
37,2020-01-18,XRPUSDT,10221.00240022801
38,2020-01-19,EOSUSDT,10052.983805980008
39,2020-01-19,ETCUSDT,10256.679069332005
40,2020-01-19,LINKUSDT,10036.398478627996
41,2020-01-19,LTCUSDT,10049.856331329987
42,2020-01-19,TRXUSDT,10011.951224854001
43,2020-01-19,XRPUSDT,10280.819613284008
44,2020-01-20,EOSUSDT,10058.50591510001
45,2020-01-20,ETCUSDT,10269.114893022
46,2020-01-20,LINKUSDT,10041.904284255996
47,2020-01-20,LTCUSDT,10051.341703437989
48,2020-01-20,XRPUSDT,10299.426155546009
49,2020-01-21,EOSUSDT,10063.02623990001
50,2020-01-21,ETCUSDT,10279.341956847993
51,2020-01-21,LINKUSDT,10047.170438883995
52,2020-01-21,LTCUSDT,10052.342347853986
53,2020-01-21,TRXUSDT,10020.632029590002
54,2020-01-21,XRPUSDT,10318.539105154006
55,2020-01-22,EOSUSDT,10067.535369020012
56,2020-01-22,ETCUSDT,10282.673990345995
