date,1000FLOKIUSDT,1000LUNCUSDT,1000PEPEUSDT,1000SATSUSDT,1000SHIBUSDT,1INCHUSDT,AAVEUSDT,ACEUSDT,ACHUSDT,ADAUSDT,AEVOUSDT,AGIXUSDT,AGLDUSDT,AIUSDT,ALGOUSDT,ALPACAUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,API3USDT,APTUSDT,ARBUSDT,ARUSDT,ATAUSDT,ATOMUSDT,AUCTIONUSDT,AUDIOUSDT,AVAXUSDT,AXLUSDT,AXSUSDT,BAKEUSDT,BALUSDT,BANANAUSDT,BATUSDT,BBUSDT,BEAMXUSDT,BELUSDT,BICOUSDT,BIGTIMEUSDT,BLURUSDT,BLZUSDT,BNBUSDT,BNXUSDT,BOMEUSDT,BONDUSDT,BSVUSDT,BTCUSDT,CELRUSDT,CFXUSDT,CHRUSDT,CHZUSDT,CKBUSDT,COMBOUSDT,COMPUSDT,COTIUSDT,CRVUSDT,CTSIUSDT,CYBERUSDT,DARUSDT,DASHUSDT,DEFIUSDT,DENTUSDT,DODOXUSDT,DOGEUSDT,DOGSUSDT,DOTUSDT,DYDXUSDT,EDUUSDT,EGLDUSDT,ENAUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,ETHFIUSDT,ETHUSDT,ETHWUSDT,FETUSDT,FLMUSDT,FLOWUSDT,FTMUSDT,FXSUSDT,GALAUSDT,GALUSDT,GASUSDT,GMTUSDT,GRTUSDT,GTCUSDT,GUSDT,HBARUSDT,HIFIUSDT,HIGHUSDT,HOOKUSDT,HOTUSDT,ICPUSDT,ICXUSDT,IDUSDT,ILVUSDT,IMXUSDT,INJUSDT,IOSTUSDT,IOTXUSDT,JASMYUSDT,JOEUSDT,JTOUSDT,KAVAUSDT,KEYUSDT,KLAYUSDT,KNCUSDT,KSMUSDT,LDOUSDT,LINAUSDT,LINKUSDT,LISTAUSDT,LITUSDT,LOOMUSDT,LPTUSDT,LRCUSDT,LTCUSDT,MANAUSDT,MANTAUSDT,MASKUSDT,MAVIAUSDT,MBOXUSDT,MEMEUSDT,METISUSDT,MEWUSDT,MINAUSDT,MKRUSDT,MOVRUSDT,MTLUSDT,NEARUSDT,NEOUSDT,NFPUSDT,NMRUSDT,NOTUSDT,NTRNUSDT,NULSUSDT,OCEANUSDT,OMGUSDT,OMNIUSDT,OMUSDT,ONDOUSDT,ONEUSDT,ONGUSDT,OPUSDT,OXTUSDT,PENDLEUSDT,PERPUSDT,PHBUSDT,PIXELUSDT,POLYXUSDT,POWRUSDT,PYTHUSDT,QNTUSDT,QTUMUSDT,RADUSDT,RDNTUSDT,REEFUSDT,RENDERUSDT,RENUSDT,REZUSDT,RLCUSDT,RNDRUSDT,RONINUSDT,ROSEUSDT,RUNEUSDT,RVNUSDT,SANDUSDT,SEIUSDT,SFPUSDT,SKLUSDT,SNXUSDT,SOLUSDT,SPELLUSDT,STGUSDT,STORJUSDT,STRKUSDT,STXUSDT,SUIUSDT,SUNUSDT,SUSHIUSDT,SXPUSDT,SYSUSDT,TAOUSDT,THETAUSDT,TIAUSDT,TLMUSDT,TNSRUSDT,TOKENUSDT,TONUSDT,TRXUSDT,TURBOUSDT,TUSDT,TWTUSDT,UMAUSDT,UNFIUSDT,UNIUSDT,USTCUSDT,VETUSDT,VIDTUSDT,WAVESUSDT,WAXPUSDT,WIFUSDT,WOOUSDT,WUSDT,XAIUSDT,XEMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,XVGUSDT,XVSUSDT,YFIUSDT,YGGUSDT,ZETAUSDT,ZILUSDT,ZKUSDT,ZROUSDT,ZRXUSDT
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001.201702260001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.870714568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.518968784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.868209198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.418523249999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001.054478484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10019.978943935997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10010.100124484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10022.270542475999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10013.973544961998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10023.577224075998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10013.904072881998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10024.976536075998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10021.307593261998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.95999822,,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10027.652679275998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10023.648627055996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10004.743703792,,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10037.764327183995,,,,,,,,,,,,,,,,,,,,,,,,,,9999.9600272,,,10023.579091801996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10007.915913284,,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10041.887110711998,,,,,,,,,,,,,,,,,,,,,,,,,,9999.42040528,,,10021.335309766642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10005.286841942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10007.608258314,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10045.45635352,,,,,,,,,,,,,,,,,,,,,,,,,,10036.560420440002,,,10020.097394517998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10005.206797441999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10041.404660641998,,,,,,,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10050.41720092,,,,,,,,,,,,,,,,,,,,,,,,,,10037.206019240002,,,10021.302320733997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10009.665435633999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10051.527165549998,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10059.770957379998,,,,,,,,,,,,,,,,,,,,,,,,,,10042.174816360004,,,10030.602694015995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10025.826521233997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10057.219192247998,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10063.299468303998,,,,,,,,,,,,,,,,,,,,,,,,,,10042.134672620004,,,10030.608162163995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10029.518630533998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10057.134771663998,,,,,,,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10063.299468303998,,,,,,,,,,,,,,,,,,,,,,,,,,10043.540534680003,,,10030.608162163995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10029.518630533998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070.970901495997,,,,,,,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070.165917392,,,,,,,,,,,,,,,,,,,,,,,,,,10056.017338640004,,,10044.570810219995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10045.075002797998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10013.480480244003,,,,,,,,,,,,,,,,,,10083.590813354,,,,,,,,,,
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076.984009288,,,,,,,,,,,,,,,,,,,,,,,,,,10063.480233500004,10017.978783554,,10055.103126505992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062.741404779996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10043.043317450009,,,,,,,,,,,,,,,,,,10090.723986078001,,,,,,,,,,
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10080.869209428001,,,,,,,,,,,,,,,,,,,,,,,,,,10081.083187640004,10041.470956117999,,10066.753635759993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10025.328401112003,,,,,,10076.626964598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10058.849265894012,,,,,,,,,,,,,,,,,,10098.609139544,,,,,,,,,,
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10085.341982447999,,,,,,,,,,,,,,,,,,,,,,,,,,10092.660583240004,10041.314306762,,10068.646045993994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10046.706381992006,,,,,,10096.221749848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064.439739744012,,,,,,,,,,,,,,,,,,10111.051002768001,,,,,,,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10093.510350054003,,,,,,,,,,,,,,,,,,,,,,,,,,10097.422235860004,10445.943034525997,,10070.054907097829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10076.972460132007,,,,,,10117.293506806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10069.38030206201,,,,,,,,,,,,,,,,,,10114.512610288,,,,,,,,,,
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10094.631628794003,,,,,,,,,,,,,,,,,,,,,,,,,,10147.773748720003,10472.615349017997,,10076.046099771997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10090.937572302008,,,,,,10125.096848186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10073.600467660464,,,,,,,,,,,,,,,,,,10127.571723253528,,,,,,,,,,
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10101.443864546005,,,,,,,,,,,,,,,,,,,,,,,,,,10151.964557140003,10491.822940399998,,10087.539759095996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10105.497103090009,,,,,,10127.055456698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10111.24779685801,,,,,,,,,,,,,,,,,,10142.713762142002,,,,,,,,,,
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10103.180054344006,,,,,,,,,,,,,,,,,,,,,,,,,,10154.102905540003,10496.731202431996,,10088.479643135996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10111.54828773801,,,,,,10127.055456698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10115.01057411601,,,,,,,,,,,,,,,,,,10144.764698282002,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10103.078015424007,,,,,,,,,,,,,,,,,,,,,,,,,,10155.043418137488,10496.655513591997,,10088.334047115995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10111.41653192601,,,,,,10134.019207499354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10114.92964610201,,,,,,,,,,,,,,,,,,10144.630582158003,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10118.367962744009,,,,,,,,,,,,,,,,,,,,,,,,,,10199.2698828,10743.762292243997,,10100.240907843996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10207.14206458601,,,,,,10153.854301661999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10163.350702066004,,,,,,,,,,,,,,,,,,10156.569076862877,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10122.210871524008,,,,,,,,,,,,,,,,,,,,,,,,,,10199.267151459999,10743.684830763998,,10100.170847223995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10215.599635688011,,,,,,10165.935911663997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10163.269387718003,,,,,,,,,,,,,,,,,,10156.467206822877,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10123.397726278008,,,,,,,,,,,,,,,,,,,,,,,,,,10212.25953194,10745.084612727997,,10099.084274983996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10216.662425844012,,,,,,10166.690339719997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10167.009133926002,,,,,,,,,,,,,,,,,,10246.652970898003,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10124.726426518007,,,,,,,,,,,,,,,,,,,,,,,,,,10218.115238100001,10745.084612727997,,10105.551531919995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10216.597143446012,,,,,,10166.690339719997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10174.835774400002,,,,,,,,,,,,,,,,,,10252.284401018003,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10128.313998058007,,,,,,,,,,,,,,,,,,,,,,,,,,10230.75516472,10745.084612727997,,10116.095969847995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10229.631759236012,,,,,,10180.133285446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10191.534016162002,,,,,,,,,,,,,,,,,,10257.965235728003,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10130.975247818007,,,,,,,,,,,,,,,,,,,,,,,,,,10233.72076712,10745.084612727997,,10122.358806567996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10232.897036244012,,,,,,10189.289033639996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10197.314255424004,,,,,,,,,,,,,,,,,,10259.108251970003,,,,,,,,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10134.050550178006,,,,,,,,,,,,,,,,,,,,,,,,,,10237.42193848,10759.725235139995,,10133.904310167996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10236.130916460012,,,,,,10190.488922279997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10217.179733754007,,,,,,,,,,,,,,,,,,10266.955054960004,,,,,,,,,,
2020-01-31,,,,,,,,,,10033.117875599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10136.998529636006,,,,,,,,,,,,,,,,,,,,,,,,,,10239.10171132,10770.059969845226,,10138.679074177999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10251.570113862013,,,,,,10205.238804397999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10217.138864058006,,,,,,,,,,,,,,,,,,10268.709996715423,,,,,,,,,,
