date,1INCHUSDT,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HNTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10036.743065732002,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.96848326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10104.569762994002,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.93696606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10104.479664286002,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.78823706,,,,,,,,,,,,,,,,10011.342488734,,,,,,,,,,,,,,,,,,,,,,,,10127.039414006002,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,10006.31664666,,,,,,,,,,,,,,,,10022.715748338,,,,,,,,,,,,,,,,,,,,,,,,10151.428227086,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,10012.7528505,,,,,,,,,,,,,,,,10062.741305286,,,,,,,,,,,,,,,,,,,,,,,,10166.247945465999,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,10012.721327579999,,,,,,,,,,,,,,,,10074.25444367,,,,,,,,,,,,,,,,,,,,,,,,10166.247945465999,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,10014.042234119997,,,,,,,,,,,,,,,,10074.25444367,,,,,,,,,,,,,,,,,,,,,,,,10170.932251839999,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,10035.735225519995,,,,,,,,,,,,,,,,10136.306448327996,,,,,,,,,,,,,,,,,,,10002.174071564006,,,,,10190.533715167998,,,,
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,10044.570228739994,,,,,,,,,,,,,,,,10183.524356887994,,,,,,,,,,,,,,,,,,,10022.104886302004,,,,,10301.088356176,,,,
