date,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10036.743065732002,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10104.569762994002,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,9999.93865006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10104.479664286002,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,10004.5511872,,,,,,,,,,,,,,,10011.342488734,,,,,,,,,,,,,,,,,,,10127.039414006002,,,
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,10004.4897604,,,,,,,,,,,,,,,10022.715748338,,,,,,,,,,,,,,,,,,,10151.428227086,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,10011.1961424,,,,,,,,,,,,,,,10062.741305286,,,,,,,,,,,,,,,,,,,10166.247945465999,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,10022.42304176,,,,,,,,,,,,,,,10074.25444367,,,,,,,,,,,,,,,,,,,10166.247945465999,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,10024.67792352,,,,,,,,,,,,,,,10074.25444367,,,,,,,,,,,,,,,,,,,10170.932251839999,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,10050.109523159997,,,,,,,,,,,,,,,10136.306448327996,,,,,,,,,,,,,,,,,,,10190.533715167998,,,
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,10059.098063639996,,,,,,,,,,,,,,,10183.524356887994,,,,,,,,,,,,,,,10042.223605021994,,,,10301.088356176,,,
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,10065.875032879998,10124.08017962,,,,,,,,,,,,,9999.917989624,10206.558390557995,,,,,,,,,,,,,,,10101.928765029998,,,,10319.868333716,,,
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,10081.592925999998,10344.711025996012,,,,,,,,,,,,,10072.678954976,10259.423846509995,,,,,,,,,,,,,,,10172.466542095082,,,,10334.965161696,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,10106.237887339996,10519.610769992003,,,,,,,,,,,,,10353.657434293995,10347.449129147992,,,,,,,,,,,,,,,10207.252148995995,,,,10503.427352999997,,,
