date,ALGOUSDT,ALPHAUSDT,APEUSDT,AVAXUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,DOTUSDT,EGLDUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,GRTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MATICUSDT,NEARUSDT,OMGUSDT,ONEUSDT,RNDRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,TRXUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZILUSDT
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.734833716,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10006.557174993999,,
2020-01-09,,,,,,,,,,,,10002.10838604,,,,,,,,,,,,,,,,,,,,,,10006.956243703999,,
2020-01-10,,,,,,,,,,,,10045.171691899997,,,,,,,,,,10000.20147902,,,,,,,,,,,,10006.936117091998,,
2020-01-11,,,,,,,,,,,,10059.634353399997,,,,,,,,,,9998.201536198,,,,,,,,,,,,10014.073577895999,,
2020-01-12,,,,,,,,,,,,10059.609938679998,,,,,,,,,,10022.144061529998,,,,,,,,,,,,10014.480718251998,,
2020-01-13,,,,,,,,,,,,10075.84380562,,,,,,,,,,10026.474491707997,,,,,,,,,,,,10015.278193651999,,
2020-01-14,,,,,,,,,,,,10317.925039559996,,,,,,,,,,10065.90204938201,,,,,,,,,,,,10032.766890085994,,
2020-01-15,,,,,,,,,,,,10354.027738619992,,,,,,,,,,10083.545232134007,,,,,,,,,,,,10040.996366863996,,
2020-01-16,,,,,,,,,,,,10405.465582480003,10018.909094318004,,,,,,,,,10095.049826530007,,,,,,,,,,10002.429009733998,,10042.185453653996,,
2020-01-17,,,,,,,,,,,,10448.399465260007,10193.722893756005,,,,,,,,,10123.473686288,,,,,,,,,,10017.015094868,,10051.810194803997,,
2020-01-18,,,,,,,,,,,,10460.714779780006,10205.049180696005,,,,,,,,,10133.807116068,,,,,,,,,,10022.855605894,,10061.325146257996,,
2020-01-19,,,,,,,,,,,,10466.593324780008,10226.633959776012,,,,,,,,,10144.541574238005,,,,,,,,,,10029.199003790003,,10064.332766899997,,
2020-01-20,,,,,,,,,,,,10478.412978720009,10241.413416818014,,,,,,,,,10149.033798058003,,,,,,,,,,10030.192487170001,,10066.700978011997,,
2020-01-21,,,,,,,,,,,,10479.485578560008,10246.849518198018,,,,,,,,,10153.50980734401,,,,,,,,,,10034.448617556005,,10072.080388525997,,
2020-01-22,,,,,,,,,,,,10483.194582560009,10259.985632574015,,,,,,,,,10157.44288048201,,,,,,,,,,10034.418260532004,,10073.270751287997,,
2020-01-23,,,,,,,,,,,,10492.978523560014,10265.082769162012,,,,,,,,,10161.215644284015,,,,,,,,,,10038.261821074004,,10076.063890743997,,
2020-01-24,,,,,,,,,,,,10494.079849960013,10276.584214114015,,,,,,,,,10169.761813052015,,,,,,,,,,10038.747169834005,,10078.042617984001,,
2020-01-25,,,,,,,,,,,,10512.847310320016,10281.696531666015,,,,,,,,,10175.750690906016,,,,,,,,,,10042.050122680004,,10080.142244504,,
2020-01-26,,,,,,,,,,,,10512.821784160016,10282.552100938015,,,,,,,,,10175.951802762016,,,,,,,,,,10042.029870808004,,10080.121996916,,
2020-01-27,,,,,,,,,,,,10549.599669780016,10403.899058008014,,,,,,,,,10175.951802762016,,,,,,,,,,10041.999468572005,,10085.160878844,,
2020-01-28,,,,,,,,,,,,10587.344367120015,10435.42789045202,,,,,,,,,10204.99352818602,,,,,,,,,,10098.405281840005,,10089.078445324,,
2020-01-29,,,,,,,,,,,,10597.147225900015,10459.493468028015,,,,,,,,,10218.011495770015,,,,,,,,,,10112.780116204005,,10090.261056628,,
2020-01-30,,,,,,,,,,,,10636.527100320014,10465.891291054017,,,,,,,,,10248.43940854202,,,,,,,,,,10120.220480180004,,10091.041930376,,
2020-01-31,,,,,,,,,,,,10644.726313220013,10473.17894436202,,,,,,,,,10266.679160286023,,,,,,,,,,10131.313834004002,,10097.031697820003,,
2020-02-01,,,,,,,,,,,,10649.588219440011,10485.164756950018,,,,,,,,,10280.248242978023,,,,,,,,,,10132.784432122002,,10097.011433972002,,
2020-02-02,,,,,,,,,,,,10652.919176040012,10485.139676950019,,,,,,,,,10291.75263079202,,,,,,,,,,10139.479046407996,,10112.067980910004,,
2020-02-03,,,,,,,,,,,,10671.033913640007,10489.869694498017,,,,,,,,,10298.841649132013,,,,,,,,,,10141.882657437995,,10113.276206318005,,
2020-02-04,,,,,,,,,,,,10674.309197340008,10491.608852562018,,,,,,,,,10303.139267802013,,,,,,,,,,10143.829305551992,,10114.469619948008,,
2020-02-05,,,,,,,,,,,,10674.15553494001,10491.523038906018,,,,,,,,,10304.015208304012,,,,,,,,,,10143.767861929991,,10139.728240510009,,
2020-02-06,,,,,,,,,,,,10750.559196000004,10543.976112210019,,,,,,,,,10304.015208304012,,,,,,,,,,10226.216024601994,,10142.866903116006,,
2020-02-07,,,,,,,,,,,,10760.473221780001,10548.338118324016,,,,,,,,,10304.015208304012,,,,,,,,,,10234.534309503999,,10145.309480120006,10004.5563917,
2020-02-08,,,,,,,,,,,,10761.5938327,10554.822403276017,,,,,,,,,10301.954501586011,,,,,,,,,,10237.5062592,,10150.726443530008,10042.590355440001,
2020-02-09,,,,,,,,,,,,10760.669626600002,10560.433169280019,,,,,,,,,10326.138187550014,,,,,,,,,,10257.233276339997,,10153.240703420006,10118.364904160006,
2020-02-10,,,,,,,,,,,,10845.173897400004,10567.804410376017,,,,,,,,,10330.765965128017,,,,,,,,,,10261.162383802,,10154.438527248009,10147.66899302001,
2020-02-11,,,,,10003.047428519998,,,,,,,10846.286693860005,10571.291784748018,,,,,,,,,10340.056053024016,,,,,,,,,,10266.522076434001,,10155.619227094008,10193.724797440014,
2020-02-12,,,,,10012.654000639994,,,,,,,10873.073967995962,10571.205349230018,,,,,,,,,10344.266123992018,,,,,,,,,,10266.407817250003,,10155.557263028008,10318.323535420017,
2020-02-13,,,,,10018.450156947994,,,,,,,10928.996120960013,10588.709611150018,,,,,,,,,10362.58165118202,,,,,,,,,,10353.883891226003,,10218.311294306013,10382.028481780028,
2020-02-14,,,,,10024.615374017993,,,,,,,10932.849179820012,10589.583087034018,,,,,,,,,10364.046299242018,,,,,,,,,,10368.579072164002,,10223.616859316011,10383.550131360027,
2020-02-15,,,,,10027.022066077992,,,,,,,10937.370732280013,10591.338720374017,,,,,,,,,10370.097172866019,,,,,,,,,,10390.093564112003,,10233.726237358009,10436.425403420031,
2020-02-16,,,,,10028.59226483799,,,,,,,10937.370732280013,10598.346744962015,,,,,,,,,10377.198699792018,,,,,,,,,,10400.53406100801,,10243.680585882008,10449.625188540038,
