date,1INCHUSDT,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,HNTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,RENUSDT,ROSEUSDT,RSRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.734833716,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10006.557174993999,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,9999.98908684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10006.956243703999,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,10001.213433040002,,,,,,,,,,,,10000.20147902,,,,,,,,,,,,,,,,,,,10006.936117091998,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,,,,10000.311169840006,,,,,,,,,,,,9998.201536198,,,,,,,,,,,,,,,,,,,10014.073577895999,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,10025.847329521732,,,,,,,,,,,,10022.144061529998,,,,,,,,,,,,,,,,,,,10014.480718251998,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,10007.51489046358,,,,,,,,,,,,10026.474491707997,,,,,,,,,,,,,,,,,,,10015.278193651999,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,9998.620888005351,,,,,,,,,,,,10065.90204938201,,,,,,,,,,,,,,,,,,,10032.766890085994,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,9943.470282868107,,,,,,,,,,,,10083.545232134007,,,,,,,,,,,,,,,,,,,10040.996366863996,,,,
2020-01-16,,,,,,,,,,,,,,,,,,,,,,9874.728640834903,,,,,,,,,,,,10095.049826530007,,,,,,,,,,,,,,,,10006.38174594,,,10042.185453653996,,,,
2020-01-17,,,,,,,,,,,,,,,,,,,,,,9796.94198593892,10108.940331213997,,,,,,,,,,,10123.473686288,,,,,,,,,,,,,,,,10022.384936136004,,,10051.810194803997,,,,
2020-01-18,,,,,,,,,,,,,,,,,,,,,,9697.712540729495,10119.597594513998,,,,,,,,,,,10133.807116068,,,,,,,,,,,,,,,,10032.959278971999,,,10061.325146257996,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,9619.033007127851,10136.523904530008,,,,,,,,,,,10144.541574238005,,,,,,,,,,,,,,,,10035.658448804,,,10064.332766899997,,,,
2020-01-20,,,,,,,,,,,,,,,,,,,,,,9553.067990233934,10140.258086100006,,,,,,,,,,,10149.033798058003,,,,,,,,,,,,,,,,10038.636959975995,,,10066.700978011997,,,,
2020-01-21,,,,,,,,,,,,,,,,,,,,,,9501.235530487087,10140.258086100006,,,,,,,,,,,10153.50980734401,,,,,,,,,,,,,,,,10043.353038818,,,10072.080388525997,,,,
2020-01-22,,,,,,,,,,,,,,,,,,,,,,9453.48454662281,10146.858245558004,,,,,,,,,,,10157.44288048201,,,,,,,,,,,,,,,,10046.663350686002,,,10073.270751287997,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,9414.197424598764,10152.425439224015,,,,,,,,,,,10161.215644284015,,,,,,,,,,,,,,,,10047.070574586,,,10076.063890743997,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,9390.216545312185,10154.189286214018,,,,,,,,,,,10169.761813052015,,,,,,,,,,,,,,,,10049.800778629999,,,10078.042617984001,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,9354.546021754279,10160.591850504014,,,,,,,,,,,10175.750690906016,,,,,,,,,,,,,,,,10051.992349337997,,,10080.142244504,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,9329.352056385902,10164.904645412025,,,,,,,,,,,10175.951802762016,,,,,,,,,,,,,,,,10054.313553293996,,,10080.121996916,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,9315.074334597939,10185.359415988032,,,,,,,,,,,10175.951802762016,,,,,,,,,,,,,,,,10086.135735295993,,,10085.160878844,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,9212.379993406168,10200.388269022027,,,,,,,,,,,10204.99352818602,,,,,,,,,,,,,,,,10155.656261315995,,,10089.078445324,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,9141.071100166451,10217.96539936201,,,,,,,,,,,10218.011495770015,,,,,,,,,,,,,,,,10194.658900946,,,10090.261056628,,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,9067.890206773622,10227.42961878801,,,,,,,,,,,10248.43940854202,,,,,,,,,,,,,,,,10229.401980770002,,,10091.041930376,,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,8971.19982975359,10233.919162770007,,,,,,,,,,,10266.679160286023,,,,,,,,,,,,,,,,10236.675912621999,,,10097.031697820003,,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,8889.365606108153,10239.618834998008,,,,,,,,,,,10280.248242978023,,,,,,,,,,,,,,,,10239.421240743997,,,10097.011433972002,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,8813.439438434572,10242.529946166012,,,,,,,,,,,10291.75263079202,,,,,,,,,,,,,,,,10252.178385552,,,10112.067980910004,,,,
2020-02-03,,,,,,,,,,,,,,,,,,,,,,8729.478084084827,10247.423286226009,,,,,,,,,,,10298.841649132013,,,,,,,,,,,,,,,,10253.042552472001,,,10113.276206318005,,,,
2020-02-04,,,,,,,,,,,,,,,,,,,,,,8621.022100228402,10249.851072306003,,,,,,,,,,,10303.139267802013,,,,,,,,,,,,,,,,10258.878410868003,,,10114.469619948008,,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,,8542.683907686322,10249.817514706003,,,,,,,,,,,10304.015208304012,,,,,,,,,,,,,,,,10294.159358068004,,,10139.728240510009,,10000.359688544,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,,8442.113617986997,10268.477550768,,,,,,,,,,,10304.015208304012,,,,,,,,,,,,,,,,10422.308537816,,,10142.866903116006,,10004.207519098001,,
