date,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,OMGUSDT,RENUSDT,ROSEUSDT,SANDUSDT,SKLUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,WOOUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2020-01-09,,,,,,,,,,,,,,,,,,,10002.10838604,,,,,,,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,10045.171691899997,,,,,,,,10027.14605589,,,,,,,,,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,10059.634353399997,,,,,,,,10046.364525254,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,10059.609938679998,,,,,,,,10046.321351773999,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,10075.84380562,,,,,,,,10050.555317307997,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,10317.925039559996,,,,,,,,10143.018946555992,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,10354.027738619992,,,,,,,,10163.343266153996,,,,,,,,,,,,
2020-01-16,,,,,,,,,,,,,,,,,,,10405.465582480003,10018.909094318004,,,,,,,10169.652468659997,,,,,,,,10006.38174594,,,,
2020-01-17,,,,,,,,,,,,,,,,,,,10448.399465260007,10193.722893756005,,,,,,,10187.080227057995,,,,,,,,10022.384936136004,,,,
2020-01-18,,,,,,,,,,,,,,,,,,,10460.714779780006,10205.049180696005,,,,,,,10197.666603447995,,,,,,,,10032.959278971999,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,10466.593324780008,10226.633959776012,,,,,,,10199.793718107994,,,,,,,,10035.658448804,,,,
