date,1INCHUSDT,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HNTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10028.751953382,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10069.519295052005,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.96929732,,,,,,,,,,,,,,,,10000.497966136,,,,,,,,,,,,,,,,,,,,,,,,10076.352645792003,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.269892459999,,,,,,,,,,,,,,,,10001.487908732,,,,,,,,,,,,,,,,,,,,,,,,10083.441308144005,,,,
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.239209259998,,,,,,,,,,,,,,,,10003.47257894,,,,,,,,,,,,,,,,,,,,,,,,10098.445875170002,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,10005.59019122,,,,,,,,,,,,,,,,10006.434804481998,,,,,,,,,,,,,,,,,,,,,,,,10106.715895314006,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,10011.195679260001,,,,,,,,,,,,,,,,10007.819003604,,,,,,,,,,,,,,,,,,,,,,,,10108.802886672007,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,10012.321982460002,,,,,,,,,,,,,,,,10008.320217514,,,,,,,,,,,,,,,,,,,,,,,,10118.445681958001,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,10025.015362820004,,,,,,,,,,,,,,,,10014.602742173996,,,,,,,,,,,,,,,,,,,,,,,,10146.453589261999,,,,
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,10029.500566380006,,,,,,,,,,,,,,,,10023.83257918799,,,,,,,,,,,,,,,,,,,10001.70031155,,,,,10181.663387547995,,,,
