date,1000BONKUSDT,1000FLOKIUSDT,1000LUNCUSDT,1000PEPEUSDT,1000RATSUSDT,1000SATSUSDT,1000SHIBUSDT,1000XECUSDT,1INCHUSDT,AAVEUSDT,ACEUSDT,ACHUSDT,ADAUSDT,AGIXUSDT,AGLDUSDT,AIUSDT,ALGOUSDT,ALICEUSDT,ALPHAUSDT,ALTUSDT,AMBUSDT,ANKRUSDT,ANTUSDT,APEUSDT,API3USDT,APTUSDT,ARBUSDT,ARKMUSDT,ARKUSDT,ARPAUSDT,ARUSDT,ASTRUSDT,ATAUSDT,ATOMUSDT,AUCTIONUSDT,AUDIOUSDT,AVAXUSDT,AXLUSDT,AXSUSDT,BADGERUSDT,BAKEUSDT,BALUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMXUSDT,BELUSDT,BICOUSDT,BIGTIMEUSDT,BLUEBIRDUSDT,BLURUSDT,BLZUSDT,BNBUSDT,BNTUSDT,BNXUSDT,BONDUSDT,BSVUSDT,BTCDOMUSDT,BTCUSDT,C98USDT,CAKEUSDT,CELOUSDT,CELRUSDT,CFXUSDT,CHRUSDT,CHZUSDT,CKBUSDT,COMBOUSDT,COMPUSDT,COTIUSDT,CRVUSDT,CTKUSDT,CTSIUSDT,CVXUSDT,CYBERUSDT,DARUSDT,DASHUSDT,DEFIUSDT,DENTUSDT,DGBUSDT,DODOXUSDT,DOGEUSDT,DOTUSDT,DUSKUSDT,DYDXUSDT,DYMUSDT,EDUUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ETHWUSDT,FETUSDT,FILUSDT,FLMUSDT,FLOWUSDT,FOOTBALLUSDT,FRONTUSDT,FTMUSDT,FXSUSDT,GALAUSDT,GALUSDT,GASUSDT,GLMRUSDT,GLMUSDT,GMTUSDT,GMXUSDT,GRTUSDT,GTCUSDT,HBARUSDT,HFTUSDT,HIFIUSDT,HIGHUSDT,HOOKUSDT,HOTUSDT,ICPUSDT,ICXUSDT,IDEXUSDT,IDUSDT,ILVUSDT,IMXUSDT,INJUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,JASMYUSDT,JOEUSDT,JTOUSDT,JUPUSDT,KASUSDT,KAVAUSDT,KEYUSDT,KLAYUSDT,KNCUSDT,KSMUSDT,LDOUSDT,LEVERUSDT,LINAUSDT,LINKUSDT,LITUSDT,LOOMUSDT,LPTUSDT,LQTYUSDT,LRCUSDT,LSKUSDT,LTCUSDT,LUNA2USDT,MAGICUSDT,MANAUSDT,MANTAUSDT,MASKUSDT,MATICUSDT,MAVIAUSDT,MAVUSDT,MBLUSDT,MDTUSDT,MEMEUSDT,MINAUSDT,MKRUSDT,MOVRUSDT,MTLUSDT,MYROUSDT,NEARUSDT,NEOUSDT,NFPUSDT,NKNUSDT,NMRUSDT,NTRNUSDT,OCEANUSDT,OGNUSDT,OMGUSDT,OMUSDT,ONDOUSDT,ONEUSDT,ONGUSDT,ONTUSDT,OPUSDT,ORBSUSDT,ORDIUSDT,OXTUSDT,PENDLEUSDT,PEOPLEUSDT,PERPUSDT,PHBUSDT,PIXELUSDT,POLYXUSDT,PORTALUSDT,POWRUSDT,PYTHUSDT,QNTUSDT,QTUMUSDT,RADUSDT,RDNTUSDT,REEFUSDT,RENUSDT,RIFUSDT,RLCUSDT,RNDRUSDT,RONINUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,RVNUSDT,SANDUSDT,SEIUSDT,SFPUSDT,SKLUSDT,SLPUSDT,SNTUSDT,SNXUSDT,SOLUSDT,SPELLUSDT,SSVUSDT,STEEMUSDT,STGUSDT,STMXUSDT,STORJUSDT,STPTUSDT,STRAXUSDT,STRKUSDT,STXUSDT,SUIUSDT,SUPERUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TIAUSDT,TLMUSDT,TOKENUSDT,TONUSDT,TRBUSDT,TRUUSDT,TRXUSDT,TUSDT,TWTUSDT,UMAUSDT,UNFIUSDT,UNIUSDT,USDCUSDT,USTCUSDT,VETUSDT,WAVESUSDT,WAXPUSDT,WIFUSDT,WLDUSDT,WOOUSDT,XAIUSDT,XEMUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,XVGUSDT,XVSUSDT,YFIUSDT,YGGUSDT,ZECUSDT,ZENUSDT,ZETAUSDT,ZILUSDT,ZRXUSDT
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.513586934,,,,,,,,,,,,,,9999.9455536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.964096272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10007.544020898,,,,,,,,,,,,,,10002.8324326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001.682866496001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10020.235193990002,,,,,,,,,,,,,,10002.72404216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10004.521612260001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10021.068712012002,,,,,,,,,,,,,,10016.037293600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10014.069463468002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10028.623328456013,,,,,,,,,,,,,,10018.846767240002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10015.737582898002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10032.815197132017,,,,,,,,,,,,,,10021.673350420002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10016.573918898002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10036.41156533002,,,,,,,,,,,,,,10024.498786920001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10017.414666876002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10049.252838622022,,,,,,,,,,,,,,10025.918631220002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10022.787721702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10014.522492766002,,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10068.101828670025,,,,,,,,,,,,,,10043.477927064001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.99551482,,10044.203698203995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10016.199406558002,,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10073.408571486025,,,,,,,,,,,,,,10048.473663124003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.91343386,,10057.119586087996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.720434694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10015.806099244,,,,,,,,,,
