,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,sortino_ratio_long,sortino_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
APTUSDT,0.0007937553824781673,0.0007937553824781673,0.0,0.0,0.0024137593455697327,0.0024137593455697327,0.0,0.0,17.410348419956016,0.0,0.9997913310596669,1.0,0.09733273211060299,-0.0,0.13809972134404233,-0.0,0.9984957116301414,0.8808383636252396,1.0,1.0,0.8525486011783022,,0.009980032777001968,0.0,0.9984957116301414,1.0,0.009980032777001968,0.0,binance,0.033856635325814864,0.0,-216.62165528000003,0.0,13305.67481534025,10000.0,13305.65411534025,10000.0,0.33056748153402493,0.0,1.3749414831365039,,95.53333333333333,,0.09208057896402992,1.0,-357.29630207196016,0.0,2913,0,359.9583333333333,3354,0,6267,0,2743,0,2903,0,611,0,10,0,0,0,3306.3389447200093,0.0,0.10859488736623607,100.0,0.16987355441714497,100.0,0.012797980462905773,100.0,0.013504839562301628,1.0,3522.9606000000094,0.0,3880.2569020719698,0.0,0.08884950699223317,0.0,-0.766101314474455,-0.999999999999991,10000.0,APTUSDT,0.018865740740740742,0.0,1548657.4516588724,0.0
AVAXUSDT,0.00045935823262754916,0.00045935823262754916,0.0,0.0,-0.000679242029198468,-0.000679242029198468,0.0,0.0,14.054404444958909,0.0,0.9970245321496651,1.0,0.1466887132481482,-0.0,0.2507859886463099,-0.0,0.9992174152213095,0.8698354160012641,1.0,1.0,0.8511198369492459,,0.007077180435961967,0.0,0.9992174152213095,1.0,0.007077180435961967,0.0,binance,0.03839212981386698,0.0,-1033.943207,0.0,11797.609793000129,10000.0,11797.609793000129,10000.0,0.17976097930001278,0.0,1.7056609990773692,,193.96666666666667,,0.7483477125370157,1.0,-8420.293858004874,0.0,2633,0,359.9583333333333,2426,0,5059,0,768,0,1354,0,359,0,1279,0,1299,0,1797.60979300016,0.0,0.06628997877493416,100.0,0.17494505905329627,100.0,0.009080572282730095,100.0,0.018512208884989584,1.0,2831.55300000016,0.0,11251.846858005034,0.0,0.04453245737067898,0.0,-0.6065929071720437,-0.999999999999991,10000.0,AVAXUSDT,0.02326388888888889,0.0,33854033.75715841,0.0
XTZUSDT,0.0004981579126321911,0.0004981579126321911,0.0,0.0,0.0008562641092107581,0.0008562641092107581,0.0,0.0,3.044796851487441,0.0,0.9999858989112869,1.0,0.07164388537058865,-0.0,0.1839938504822266,-0.0,0.9988432882466451,0.8657648288499539,1.0,1.0,0.8165295802012655,,0.007984030473887616,0.0,0.9988432882466451,1.0,0.007984030473887616,0.0,binance,0.040836506310186926,0.0,-90.2129989,0.0,11963.454396096282,10000.0,11274.214201099974,10000.0,0.19634543960962825,0.0,7.848706240487062,,110.53333333333333,,0.04510811804696385,1.0,-97.01315199499227,0.0,392,0,359.9583333333333,704,0,1096,0,368,0,385,0,336,0,7,0,0,0,1963.454396096306,0.0,0.07633821618243038,100.0,0.22469261768054,100.0,0.011653908753907717,100.0,0.01324453760751858,1.0,2053.667394996306,0.0,2150.6805469912983,0.0,0.048531127718564895,0.0,-0.8271150635782256,-0.999999999999991,10000.0,XTZUSDT,0.019560185185185184,0.0,1029347.214450096,0.0
OCEANUSDT,0.00022125896250635435,0.0007375298750211812,0.0,0.0,0.0002415719591159382,0.0008052398637197941,0.0,0.0,8.281514064127792,0.0,1.0,1.0,0.08184095129871741,-0.0,0.09724574030343888,-0.0,0.9988677644566415,0.9281642162016581,1.0,1.0,0.9119145115888018,,0.005490993692246829,0.0,0.9988677644566415,1.0,0.005490993692246829,0.0,binance,0.10419886017002192,0.0,-99.77255862000001,0.0,10828.91954138001,10000.0,10828.91954138001,10000.0,0.08289195413800088,0.0,2.896979865771812,,120.65,,0.6136037837019209,1.0,-1474.7788990109632,0.0,1602,0,359.9583333333333,1379,0,2981,0,865,0,1491,0,410,0,111,0,104,0,828.9195413800004,0.0,0.1835081929315379,100.0,0.4156362525101441,100.0,0.0133413202033257,100.0,0.0261054642224311,1.0,928.6921000000004,0.0,2403.4709990109636,0.0,0.04282886693944092,0.0,-0.8709874589548915,-0.999999999999991,10000.0,OCEANUSDT,0.08831018518518519,0.0,1795080.733735749,0.0
RNDRUSDT,0.0011334034215948474,0.0011334034215948474,0.0,0.0,0.0022278104131713272,0.0022278104131713272,0.0,0.0,7.1230466489177,0.0,0.9999551940049998,1.0,0.010516696753610976,-0.0,0.04021609764177783,-0.0,0.9996796984516975,0.9749877962949673,1.0,1.0,0.9190647916397245,,0.0013362745030362222,0.0,0.9996796984516975,1.0,0.0013362745030362222,0.0,binance,0.024288811762221876,0.0,-209.638569696,0.0,15034.267150304007,10000.0,15034.267150304007,10000.0,0.5034267150304008,0.0,3.357192092599818,,88.63333333333334,,0.0004583309767685031,1.0,-2.4045465088796405,0.0,970,0,359.9583333333333,1594,0,2564,0,932,0,968,0,662,0,2,0,0,0,5034.267150304,0.0,0.033546735769679516,100.0,0.042290743759408896,100.0,0.01166680105665413,100.0,0.009056833589784001,1.0,5243.90572,0.0,5246.310266508879,0.0,0.3658229615923116,0.0,-0.9435125099751049,-0.999999999999991,10000.0,RNDRUSDT,0.0019675925925925924,0.0,1776596.8308295922,0.0
SANDUSDT,-4.017516368137741e-06,-1.3391721227125805e-05,0.0,0.0,-0.00011250445746693316,-0.00037501485822311054,0.0,0.0,5.536751938881816,0.0,1.0,1.0,0.10083271945108575,-0.0,0.10888500407729651,-0.0,0.9988211407218563,0.9174044286004539,1.0,1.0,0.9088311884466065,,0.006517302951777703,0.0,0.9988211407218563,1.0,0.006517302951777703,0.0,binance,0.07300374494941686,0.0,-80.74833162,0.0,9985.54903757623,10000.0,9866.491768380056,10000.0,-0.0014450962423770974,0.0,4.332906626506024,,98.13333333333334,,0.9634730512662211,1.0,-1748.728837327889,0.0,995,0,359.9583333333333,998,0,1993,0,561,0,866,0,320,0,129,0,117,0,-14.450962423830518,0.0,0.22947962958901633,100.0,0.43657837609720423,100.0,0.016481914637585242,100.0,0.0417983629519359,1.0,66.29736919616948,0.0,1815.0262065240586,0.0,-0.004917086037776634,0.0,-0.8834854726645609,-0.999999999999991,10000.0,SANDUSDT,0.061342592592592594,0.0,1320374.8154439686,0.0
GMTUSDT,0.00035544681927723865,0.00035544681927723865,0.00028372103013296623,0.00028372103013296623,0.0005903860328369647,0.0005903860328369647,0.0004373608189909284,0.0004373608189909284,5.820118069220975,5.51174904502836,1.0,0.7182580220493509,0.01608330039128368,0.02674480246050896,0.023830326712692886,0.15809376626304614,0.9995104432031661,0.978224528543685,0.8798938835476934,0.9996245808948042,0.9422650029440567,0.8420719729327162,0.0019605220509475727,0.004859883930874934,0.9995104432031661,0.9996245808948042,0.0019605220509475727,0.004859883930874934,binance,0.022686617820095976,0.011148402299400867,-58.947050340000004,-63.88694506,11364.658449659948,11075.089054940125,11364.658449659948,11071.169154940124,0.1364658449659948,0.10750890549401237,4.115616045845272,4.336981005210959,138.35,108.2,0.0,0.0,0.0,0.0,827,900,359.9583333333333,1268,1084,2095,1984,787,861,827,900,481,223,0,0,0,0,1364.6584496600003,1075.0890549400024,0.04796851770719693,0.05287486680768011,0.07626625791170223,0.1363719331368839,0.0134686468637079,0.015044417073096785,0.011022549043792379,0.012140620419726546,1423.6055000000003,1138.9760000000024,1423.6055000000003,1138.9760000000024,0.26029472662243724,0.05229759466786266,-0.9886723094260899,-0.9124800265464864,10000.0,GMTUSDT,0.0,0.0028935185185185184,421708.2119996082,398645.94211255235
SUSHIUSDT,5.6831569386073255e-06,1.894385646202442e-05,0.0,0.0,-0.0007903777507084376,-0.0026345925023614587,0.0,0.0,10.706794767912953,0.0,1.0,1.0,0.08102405472466555,-0.0,0.1262054474203454,-0.0,0.999466380570083,0.9342073896619842,1.0,1.0,0.9230081691236247,,0.003998068891016285,0.0,0.999466380570083,1.0,0.003998068891016285,0.0,binance,0.06757476193291143,0.0,-129.29002254000002,0.0,10020.477877459994,10000.0,10020.477877459994,10000.0,0.002047787745999452,0.0,2.2401678345877674,,99.63333333333334,,0.9337536556368734,1.0,-2111.0043952839087,0.0,2148,0,359.9583333333333,1706,0,3854,0,981,0,1769,0,356,0,379,0,369,0,20.477877459993437,0.0,0.13960888251357248,100.0,0.3451663854792824,100.0,0.010742714168916525,100.0,0.020082843768732882,1.0,149.76789999999346,0.0,2260.772295283902,0.0,0.0040497063318048485,0.0,-0.883364998003195,-0.999999999999991,10000.0,SUSHIUSDT,0.028703703703703703,0.0,3196086.70581405,0.0
LTCUSDT,0.0001497705501034563,0.000499235167011521,0.0,0.0,0.0004039811946397576,0.0013466039821325253,0.0,0.0,5.245051510591504,0.0,1.0,1.0,0.01253613469385791,-0.0,0.016687097050807596,-0.0,0.9998804089770151,0.9889561147971196,1.0,1.0,0.9791219123938052,,0.0005779341693320203,0.0,0.9998804089770151,1.0,0.0005779341693320203,0.0,binance,0.032001994938380546,0.0,-60.097398064000004,0.0,10553.865741935964,10000.0,10553.865741935964,10000.0,0.05538657419359638,0.0,4.569254548666313,,151.46666666666667,,0.2359911899277965,1.0,-189.64426858731122,0.0,925,0,359.9583333333333,963,0,1888,0,538,0,606,0,107,0,319,0,318,0,553.8657419359945,0.0,0.03728001079231878,100.0,0.05867752671909917,100.0,0.011124371607570606,100.0,0.009436898456496182,1.0,613.9631399999945,0.0,803.6074085873057,0.0,0.1805510535681297,0.0,-0.9964432335876232,-0.999999999999991,10000.0,LTCUSDT,0.007175925925925926,0.0,2111251.1334949005,0.0
GALUSDT,0.0006345437041088697,0.0006345437041088697,0.0016913695501299397,0.0016913695501299397,0.0015280779712928626,0.0015280779712928626,0.003045944117303967,0.003045944117303967,35.53189026507698,4.03935640699155,0.9997070674817913,0.621668381355847,0.20671157470215118,0.1064542863253743,0.2515422796352062,0.21539311876499886,0.9948955613155437,0.7811363627762475,0.8101857318593725,0.9976653772823022,0.7619363140826584,0.7848707558122895,0.02388343580445153,0.0120342944722388,0.9948955613155437,0.9976653772823022,0.02388343580445153,0.0120342944722388,binance,0.07448899933209248,0.0850708337775301,-610.70915898,-224.70948122,12565.085177900146,18373.20521877994,12564.537977900145,18366.48001877994,0.2565085177900146,0.8373205218779942,0.673757395678578,5.918410185822437,57.96666666666667,105.73333333333333,0.20473707849658282,0.05620974243814818,-817.7599993826356,-512.0698872657048,6049,693,359.9583333333333,6741,761,12790,1454,5992,368,6014,668,717,375,35,25,32,18,2565.7267410200175,8373.205218779998,0.22059072839461358,0.09651121851627092,0.3124632209550502,0.17701592908022964,0.015886478027934338,0.012600615420733534,0.027882961525096898,0.014041340293877295,3176.4359000000177,8597.914699999998,3994.1958993826534,9109.984587265702,0.048323763190348236,0.10645836347851888,-0.6209588193305987,-0.47813960996269605,10000.0,GALUSDT,0.05381944444444445,0.025,2600018.9802029273,3017827.9108656007
