,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,sortino_ratio_long,sortino_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
APTUSDT,0.0023864728187557027,0.0011932364093778514,0.0006210721640824701,0.0006210721640824701,0.0015783719443954957,0.0007891859721977478,0.0005396764780126739,0.0005396764780126739,13.270705659078867,5.43383034374149,0.35510038531519794,0.8052227581742775,0.2898215448621597,0.06715827979253966,0.45374439290927815,0.10807577272900003,0.9942879172720923,0.5923181639964216,0.9065851330158035,0.9983631978454223,0.5506439718933899,0.8921120135427044,0.029595733979024503,0.007532778570153467,0.9942879172720923,0.9983631978454223,0.029595733979024503,0.007532778570153467,binance,0.09236514883445385,0.051246319834410525,-3140.9043303320004,-185.613855516,47981.30706966786,15045.382324484039,47972.675069667865,15031.729324484038,3.798130706966786,0.5045382324484038,1.8085223367697596,4.415263010632344,49.833333333333336,183.68333333333334,0.1354012260914969,0.0,-6439.978879432193,0.0,4061,1459,657.9152777777778,4670,2116,8731,3575,0,0,3417,1459,0,0,644,0,4670,2116,37981.307069667986,5045.382324484003,0.14695466259847073,0.08849688883141059,0.28978161365445376,0.1387466327094559,0.010987904087767668,0.01656845448878433,0.02111896847184428,0.017063114394202276,41122.211399999986,5230.996180000003,47562.19027943218,5230.996180000003,0.13812766468357285,0.09961733653266941,-0.42383931695682137,-0.8625417149979301,10000.0,APTUSDT,0.06896333354442404,0.013488696092711038,24516157.133326113,1704028.8506879797
AVAXUSDT,0.0016657806010453857,0.0008328903005226929,-0.0006053589896913847,-0.0006053589896913847,0.000853827661375095,0.0004269138306875475,-0.0017664687887939735,-0.0017664687887939735,4.183328110002368,18.244233786469575,0.4817116533959602,0.7006705719397914,0.11663476377791358,0.8430398959856197,0.40406886597614666,0.8579789814363115,0.9999964455833587,0.9772883837696833,0.8289727895645796,0.9937665773862455,0.7480576040503011,0.8234354425956922,0.0005798423103594762,0.017767781799067836,0.9999964455833587,0.9937665773862455,0.0005798423103594762,0.017767781799067836,binance,0.0004832317380248514,0.500527011453373,-17627.90905864,-16364.741321520001,105167.20134135999,4248.329078479889,105167.20134135999,4254.329078479889,9.516720134136,-0.5751670921520111,5.731047409662326,1.3154698667493827,533.4833333333333,143.95,0.40491040020691305,0.9649476776850247,-76747.96082695297,-292164.88264494116,2869,12058,1413.7069444444444,3045,13734,5914,25792,0,0,15,596,0,0,2854,11462,3045,13734,95167.20134136004,-5751.670921520266,0.012938922712356799,0.09845264985748665,0.13090909090909092,0.1502407875847482,0.012938922712356797,0.013161237895434375,0.019722816517047773,0.015496425545583491,112795.11040000003,10613.070399999735,189543.071226953,302777.9530449409,0.14161041070200345,-0.0016197197363319446,-0.7353667828221574,-0.23932282654331713,10000.0,AVAXUSDT,2.9472443265546713e-05,0.3711759504862953,49695722.76014739,49940690.61776061
XTZUSDT,0.0031066855178234487,0.0015533427589117244,0.0011108374602235571,0.0011108374602235571,0.0018890588066075241,0.0009445294033037621,0.0007377202229165603,0.0007377202229165603,10.5909641308086,11.385529799170046,0.24474686979529747,0.5997579355650273,0.10863343043967674,0.09869221789480231,0.7138125482832002,0.25717521705160973,0.9996657836486706,0.5523931905928519,0.7680807843476052,0.9984609174427334,0.32408973463237883,0.746247308588977,0.008949735060500157,0.011049322677054638,0.9996657836486706,0.9984609174427334,0.008949735060500157,0.011049322677054638,binance,0.01022632862354422,0.052701864563800827,-105728.31110002002,-3239.00315628,1637655.1053999786,62017.50584371991,1637655.1053999786,62019.745043719915,162.76551053999785,5.201750584371991,2.265312805193313,2.107535759454212,109.08333333333333,85.86666666666666,0.19606872478943796,0.015958398466694983,-422750.4097975277,-896.105801956456,7433,7813,1643.6652777777779,9975,10901,17408,18714,0,0,213,6257,0,0,7220,1556,9975,10901,1627655.1053999793,52017.505843720006,0.03564856300339526,0.08599288558570115,0.5104355492742806,0.20394068908939791,0.006509608783485422,0.00972111707699224,0.012103856487632767,0.013619099115758761,1733383.4164999994,55256.509000000005,2156133.826297527,56152.614801956464,0.20717246211518897,0.12819399651392177,-0.584774830906892,-0.777076718589924,10000.0,XTZUSDT,0.002712362797536059,0.02111587112474334,430505760.5758394,28991940.646912202
OCEANUSDT,0.0038840617384057197,0.0019420308692028598,0.002069676538758669,0.002069676538758669,0.0021569908603250145,0.0010784954301625072,0.0004584540200652909,0.0004584540200652909,12.473893331201833,4.83788621225903,0.16415255867076517,0.00016015730382677428,0.4709021600638148,1.835369649179986,0.8152214861327414,2.4362230785926893,0.9844622147052342,0.24007702102432557,-1.426201121949363,0.8699011301305871,0.1963921741678557,-1.553604294168115,0.060595284405904934,0.37013769086042814,0.9844622147052342,0.8699011301305871,0.060595284405904934,0.37013769086042814,binance,0.13092859445390473,0.20719254737839132,-72640.890744188,-4940.36697982,2046601.850718373,170836.75713057708,1634083.907435815,67167.37262018007,203.6601850718373,16.08367571305771,1.8643538527430596,4.385316265060241,35.4,65.88333333333334,0.135969063819577,0.10302138176522332,-331923.02372031694,-19040.1287653078,10871,3648,1372.7069444444444,6252,2993,17123,6641,0,0,719,2563,0,0,10152,1085,6252,2993,2036601.8507183709,160836.75713057697,0.28902316982836357,0.6549414715358745,0.6716880717734226,0.719250540562517,0.024232442078246094,0.09952760270595527,0.041806615185756506,0.1853527093194712,2109242.741462559,165777.12411039698,2441165.765182876,184817.25287570478,0.10779582870174899,-0.03059210655189456,-0.22403030760150977,-0.030818044805512822,10000.0,OCEANUSDT,0.09205973411036242,0.1727979117343532,2516553421.684553,55512864.097008534
RNDRUSDT,0.0048527043189301455,0.0024263521594650728,0.0,0.0,0.0017583510100452448,0.0008791755050226224,0.0,0.0,18.609746274667742,0.0,0.4464627275079592,1.0,0.13817378876997638,-0.0,0.2596383206460521,-0.0,0.9989793258383879,0.8551081862063101,1.0,1.0,0.7169028735978824,,0.007296581037856808,0.0,0.9989793258383879,1.0,0.007296581037856808,0.0,binance,0.054337705773940086,0.0,-20885.449161536002,0.0,138654.75486846408,10000.0,138716.8818684641,10000.0,12.865475486846409,0.0,1.256798918241483,,46.916666666666664,,0.5047592254381599,1.0,-152414.343558099,0.0,4419,0,543.15625,5689,0,10108,0,0,0,256,0,0,0,4163,0,5689,0,128654.75486846431,0.0,0.0345170117738011,100.0,0.10740239489246524,100.0,0.0057025171393311255,100.0,0.00607000342717201,1.0,149540.2040300003,0.0,301954.5475880993,0.0,0.2819775322656052,0.0,-0.2812307308040713,-0.999999999999982,10000.0,RNDRUSDT,0.018179028917695787,0.0,101159137.63477637,0.0
SANDUSDT,0.0046888478215740825,0.0023444239107870413,0.0007121395722822221,0.0007121395722822221,0.001754801080908175,0.0008774005404540875,0.0006027578019645929,0.0006027578019645929,25.637607165279796,6.417737018207194,0.3203231926277829,0.6631765316016541,0.3724063812197067,0.06410023967926509,0.5657193655864317,0.2026615143426487,0.9964638676411663,0.5311151939176467,0.8676220157882373,0.9992227670264835,0.4713248023211972,0.7974979598054449,0.025071969153040823,0.004339752904524922,0.9964638676411663,0.9992227670264835,0.025071969153040823,0.004339752904524922,binance,0.057816390517220526,0.046284387321685355,-335286.750215742,-765.987693794,4170084.416414261,25045.88561620602,4169162.428514261,25047.35861620602,416.0084416414261,1.5045885616206016,0.9360956528752319,3.7398441275978733,12.066666666666666,72.55,0.3598092790116505,0.22514943676747057,-2526553.736764236,-4594.478650352028,17474,3605,1289.7069444444444,15591,4672,33065,8277,0,0,588,229,0,0,16886,3376,15591,4672,4160084.4164142637,15045.885616206,0.1278196327893815,0.06606620104093704,0.35929984237959145,0.16839491437852191,0.010613711477658985,0.012566713337229555,0.01597099978413573,0.012503542808706782,4495371.166630005,15811.87331,7021924.903394242,20406.35196035203,0.15191416720407677,0.1591142387816097,-0.190833387991003,-0.8949751075841823,10000.0,SANDUSDT,0.0266201460231311,0.006848872520514312,3306559004.2949305,6241417.587955141
GMTUSDT,0.001585618994133453,0.0007928094970667265,0.0,0.0,-0.0026162594454323894,-0.0013081297227161947,0.0,0.0,29.14828599474468,0.0,0.34891064309281117,1.0,0.2297611112931378,-0.0,0.5121051377203198,-0.0,0.9991392999260361,0.614233962220416,1.0,1.0,0.5362462798645932,,0.011699170226588331,0.0,0.9991392999260361,1.0,0.011699170226588331,0.0,binance,0.017486202017440586,0.0,-5535.17139914,0.0,40053.69862086025,10000.0,40053.69862086025,10000.0,3.0053698620860247,0.0,0.8220522563459731,,192.78333333333333,,0.6425142003223888,1.0,-63964.37112159176,0.0,23503,0,875.8319444444445,2026,0,25529,0,0,0,22284,0,0,0,1219,0,2026,0,30053.69862085999,0.0,0.05720941812772833,100.0,0.3017430885860623,100.0,0.011387509552431752,100.0,0.016418426258954382,1.0,35588.87001999999,0.0,99553.24114159174,0.0,0.09330159320514479,0.0,-0.43887731218245957,-0.9999999999999754,10000.0,GMTUSDT,0.008848294562580277,0.0,70045716.95739968,0.0
SUSHIUSDT,1.1393116480906684e-05,5.696558240453342e-06,0.0013409589069035555,0.0013409589069035555,1.1393116480906685e-06,5.696558240453342e-07,0.0002900792026188204,0.0002900792026188204,0.07328784187663408,7.85436271083584,0.0005715201796923501,2.0373117605224752e-07,1.7166013782950815,2.4295352158631527,1.7731336621727996,2.7543583559772142,0.91412785764861,-0.7710586603607485,-1.7044054875978696,0.7905432459931143,-0.7789515797659154,-1.7865401816812811,2.2953050932861188,0.4887477246035928,0.91412785764861,0.7905432459931143,2.2953050932861188,0.4887477246035928,binance,0.9993677794851245,0.2619714125005947,-12.180794780000001,-2657.49180952,10164.568505220006,68203.730013422,-7571.289294779992,72079.72999048002,0.016456850522000632,5.8203730013422,0.23926282051282052,2.456545503021685,6.266666666666667,85.93333333333334,0.0,0.048651804576815456,0.0,-3112.4337909936876,44,5722,1432.7069444444444,61,5531,105,11253,0,0,43,4651,0,0,1,1071,61,5531,164.56850521999982,58203.73001342191,6.868405212801009,0.7102565615859002,8.04179499454134,0.7359062037332905,2.2297615039365795,0.15527716950219814,1.7649282464917624,0.22721167662285036,176.74929999999983,60861.22182294191,176.74929999999983,63973.655613935596,-0.02388299069218896,-0.05680108803280461,-0.023088764938528506,-0.06047490075363141,10000.0,SUSHIUSDT,0.9992729599255511,0.23128598848368523,73022.49844759358,41122530.89276838
LTCUSDT,0.0011859210251363717,0.0005929605125681858,0.0,0.0,-0.00015021055024299067,-7.510527512149534e-05,0.0,0.0,9.439125885005291,0.0,0.33983050833624723,1.0,0.27571638168226464,-0.0,0.6365837873507723,-0.0,0.9995933703548121,0.6588586814535237,1.0,1.0,0.5148690549109444,,0.007542763115943543,0.0,0.9995933703548121,1.0,0.007542763115943543,0.0,binance,0.01121943813824466,0.0,-7930.440703476001,0.0,72520.26873652377,10000.0,72520.26873652377,10000.0,6.252026873652376,0.0,2.541639202264757,,145.36666666666667,,0.4394505041053571,1.0,-55230.80478125521,0.0,9683,0,1671.6590277777777,6096,0,15779,0,0,0,98,0,0,0,9585,0,6096,0,62520.268736524005,0.0,0.039934473079488726,100.0,0.3202023778798934,100.0,0.007566323309164717,100.0,0.010693982213262605,1.0,70450.70944,0.0,125681.51422125522,0.0,0.09096120701300224,0.0,-0.6233325437599161,-0.999999999999995,10000.0,LTCUSDT,0.002841404750629346,0.0,37903848.806575686,0.0
GALUSDT,0.003000431562753425,0.0015002157813767125,0.0015787467320738102,0.0015787467320738102,-0.003673086213852694,-0.001836543106926347,0.0013411396379249708,0.0013411396379249708,6.69787375161031,20.1744365505542,0.1944257142336648,0.6079561341738577,0.7095309429844613,0.13692906270080824,0.8415238663532258,0.24626006686046478,0.9771515414328208,0.35454394956165824,0.7841433716173213,0.9965519230489898,0.24137420450450636,0.756170569856651,0.07776969456084445,0.015698444705923423,0.9771515414328208,0.9965519230489898,0.07776969456084445,0.015698444705923423,binance,0.1690161717915673,0.11230657451734301,-6265.374218860001,-1700.49188004,115503.40648114056,36266.50831995999,115503.40648114056,36266.60331995999,10.550340648114055,2.626650831995999,3.4997897238983358,1.1621254425897825,65.71666666666667,55.55,0.6247362551883882,0.01883179527963875,-186071.82406215108,-536.7773026258211,2242,5928,816.6770833333334,3228,10548,5470,16476,0,0,742,5148,0,0,1500,780,3228,10548,105503.40648114,26266.50831995994,0.3450672623164948,0.11908569197145517,0.6110692831824113,0.19603724828363378,0.024535506852769305,0.011840173396707367,0.05060923351473267,0.0170272034893813,111768.7807,27967.00019999994,297840.6047621511,28503.777502625762,0.08684231520147762,0.10790856466795574,-0.17586795871594177,-0.5402174123466944,10000.0,GALUSDT,0.12315069890827467,0.0440771349862259,139878227.94331643,27105589.897889152
