,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,sortino_ratio_long,sortino_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
APTUSDT,0.0026144138590704635,0.0013072069295352318,0.0006368742137325967,0.0006368742137325967,0.0032500051636912943,0.0016250025818456471,0.0005747477874934681,0.0005747477874934681,13.801012904772616,5.634301335462296,0.45274099107267857,0.8401134083285473,0.10505627890020704,0.04063385808960208,0.1751349996347677,0.08699908701831584,0.9970182468798513,0.8457309257066378,0.9263365351878867,0.9989352172354282,0.8092291084664066,0.9131164919399835,0.013065508550617494,0.004691858725896663,0.9970182468798513,0.9989352172354282,0.013065508550617494,0.004691858725896663,binance,0.08480295730537124,0.03933039192701631,-2454.443861872,-157.933291316,43369.09683812799,14301.158288684032,43369.09683812799,14296.487988684032,3.3369096838127987,0.43011582886840305,1.7388444673716792,4.258852027382833,49.833333333333336,30.483333333333334,0.04603180150726589,0.0,-1728.5923339953147,0.0,3609,1296,561.9152777777778,4146,1870,7755,3166,0,0,3061,1296,0,0,548,0,4146,1870,33369.096838127996,4301.158288684006,0.05333741237426584,0.08986780583540084,0.09449834626455914,0.1387466327094559,0.008561992667597435,0.016295287119876715,0.009303246750970278,0.01695187921264663,35823.5407,4459.091580000006,37552.13303399531,4459.091580000006,0.2394655057288776,0.11790013208720779,-0.594685736278613,-0.8978025942755086,10000.0,APTUSDT,0.061244161043968265,0.0021502187291465857,18249146.270787906,1412688.530087102
AVAXUSDT,0.001772928183354061,0.0008864640916770306,-0.0005045997608927877,-0.0005045997608927877,0.0011639244472287924,0.0005819622236143962,-0.002464261108110266,-0.002464261108110266,4.425870277597131,19.14006760481434,0.4817116533959602,0.734028070854984,0.11728238488667607,0.8036838716907628,0.40406886597614666,0.8093921890842807,0.9999966723034551,0.9779980245810975,0.8653514338788556,0.994365959651792,0.7480576040503011,0.8467006930863584,0.0005935621274448886,0.015610973574452335,0.9999966723034551,0.994365959651792,0.0005935621274448886,0.015610973574452335,binance,0.0004931380684956031,0.48733466374383627,-16770.690616840002,-16204.499987320001,103204.90278315997,5142.311412679885,103204.90278315997,5039.291412679885,9.320490278315997,-0.4857688587320116,5.416640942091123,1.2534278350515464,352.8833333333333,143.95,0.39509388467547496,0.9618790085751647,-71830.45982695304,-286305.7672946758,2831,11775,1317.7069444444444,3001,13446,5832,25221,0,0,15,515,0,0,2816,11260,3001,13446,93204.90278315998,-4857.68858732017,0.012674587243821724,0.0837109660004374,0.13090909090909092,0.13289937688258097,0.012674587243821723,0.012491341539833079,0.020074043385153582,0.013841443186929193,109975.59339999998,11346.811399999831,181806.05322695302,297652.57869467564,0.14599391588996133,0.0006459967199821235,-0.7213535694379238,-0.23955174104316743,10000.0,AVAXUSDT,3.161955353190413e-05,0.3573958135711124,46993105.467454754,49164974.11461908
XTZUSDT,0.0031566727000331696,0.0015783363500165848,0.0011446075834322667,0.0011446075834322667,0.0014397966266029405,0.0007198983133014702,0.000756893972044681,0.000756893972044681,10.798200515292299,11.711188627314082,0.24474686979529747,0.5997579355650273,0.11223847956088416,0.10226090611758565,0.7138125482832002,0.25717521705160973,0.999646402797132,0.5523931905928519,0.7680807843476052,0.9983967070559142,0.32408973463237883,0.746247308588977,0.009221175710009808,0.01137484181333011,0.999646402797132,0.9983967070559142,0.009221175710009808,0.01137484181333011,binance,0.010512235975787121,0.05310346219729352,-92569.78477614,-3037.08148434,1313385.0537238608,58735.33241565992,1313385.0537238608,58714.81781565992,130.33850537238607,4.873533241565992,2.2210510043284866,2.049329618185831,109.08333333333333,85.86666666666666,0.2164949634036947,0.016141836267828686,-385724.63169752783,-849.4129125217644,7124,7537,1547.6652777777779,9588,10588,16712,18125,0,0,204,6084,0,0,6920,1453,9588,10588,1303385.0537238594,48735.332415660036,0.03641990835087362,0.0888869734862544,0.5104355492742806,0.20394068908939791,0.006574792215469604,0.009842078974913676,0.012353459176011296,0.013950962629047133,1395954.8384999994,51772.413900000036,1781679.4701975272,52621.8268125218,0.20829146051920425,0.12897444361141716,-0.5751448076645179,-0.7686463479484151,10000.0,XTZUSDT,0.00285368151837394,0.02221025710055189,373349258.06456816,27051886.635777645
OCEANUSDT,0.004222439430751068,0.002111219715375534,0.0022254757056709984,0.0022254757056709984,0.0034812211572275097,0.0017406105786137549,0.0008224121975430543,0.0008224121975430543,13.096975835183617,5.2016635680554035,0.2849704222218606,0.00018061276680481574,0.19963172990728176,1.8496140964886902,0.6015138066547165,2.4362230785926893,0.9951953298895657,0.6343004153437006,-1.4262011219493633,0.9187877766595768,0.39860844126862216,-1.553604294168115,0.02358846594427951,0.32683613881967527,0.9951953298895657,0.9187877766595768,0.02358846594427951,0.32683613881967527,binance,0.0930530899474064,0.1478239500014021,-65830.934827508,-4940.36697982,2169069.5429524966,170836.75713057708,2168895.8021524968,13267.930920180079,215.90695429524965,16.08367571305771,1.8325618022328547,4.385316265060241,32.516666666666666,65.88333333333334,0.024402819289044676,0.10302138176522332,-55651.9077431205,-19040.1287653078,10627,3648,1276.7069444444444,6094,2993,16721,6641,0,0,717,2563,0,0,9910,1085,6094,2993,2159069.5429524938,160836.75713057697,0.10836407346826764,0.656801276583436,0.4299427424740647,0.719250540562517,0.016689007086630406,0.0632366018822628,0.018192869814847176,0.15541346200299105,2224900.4777800017,165777.12411039698,2280552.3855231223,184817.25287570478,0.1781627078049459,-0.03494145240418451,-0.2971312225736875,-0.04924812295097916,10000.0,OCEANUSDT,0.05179165850793029,0.11059983029828341,2299175383.584393,55512864.097008534
RNDRUSDT,0.005633002400100562,0.002816501200050281,0.0,0.0,0.00409276320848877,0.002046381604244385,0.0,0.0,19.375923596438735,0.0,0.4528384797735197,1.0,0.1369705742247849,-0.0,0.2596383206460521,-0.0,0.9990306378908931,0.8688703125504214,1.0,1.0,0.7169028735978824,,0.006962830460795332,0.0,0.9990306378908931,1.0,0.006962830460795332,0.0,binance,0.05287636569019888,0.0,-14880.442027934001,0.0,128742.7871220653,10000.0,128742.7871220653,10000.0,11.87427871220653,0.0,1.2370796928779455,,46.916666666666664,,0.4135418588788965,1.0,-94224.6252502457,0.0,3864,0,454.89444444444445,4950,0,8814,0,0,0,237,0,0,0,3627,0,4950,0,118742.78712206586,0.0,0.03371623501045995,100.0,0.10740239489246524,100.0,0.00531878779167042,100.0,0.005817514288836171,1.0,133623.22914999985,0.0,227847.85440024556,0.0,0.32947582118607344,0.0,-0.24687578618046863,-0.9999999999999998,10000.0,RNDRUSDT,0.017034526971334372,0.0,73418878.96165201,0.0
SANDUSDT,0.004956522027861343,0.0024782610139306716,0.0007199632266048361,0.0007199632266048361,0.0018241335869106923,0.0009120667934553461,0.0005809553408772095,0.0005809553408772095,26.328070006015345,6.582017501503836,0.3203231926277829,0.6631765316016541,0.37577588312051147,0.06366239907995162,0.5657193655864317,0.2026615143426487,0.9963450417713379,0.5311151939176467,0.8680542096129864,0.9992826378868614,0.4713248023211972,0.7974979598054449,0.02554031560798534,0.004161853135681793,0.9963450417713379,0.9992826378868614,0.02554031560798534,0.004161853135681793,binance,0.059332740036947475,0.041868150360343755,-287403.667027642,-660.484545314,3657756.150702353,23610.722864686002,3657143.405502353,23596.655964686,364.7756150702353,1.3610722864686,0.9115304250060988,3.6464506958587917,12.066666666666666,72.55,0.3464793102706729,0.19363271210110236,-2086317.2059887932,-3426.940349919205,16618,3438,1193.7069444444444,14810,4419,31428,7857,0,0,577,215,0,0,16041,3223,14810,4419,3647756.1507023615,13610.722864685999,0.13030589531081788,0.06680245551618617,0.35929984237959145,0.16839491437852191,0.010837589443091334,0.012665543673475912,0.016256291166124946,0.012689262486151135,3935159.8177300035,14271.207409999999,6021477.023718797,17698.147759919204,0.15553580024380143,0.16860102348622374,-0.17300228063942696,-0.9032208651304228,10000.0,SANDUSDT,0.02757417102966841,0.0056893542757417105,2812367374.602827,5224382.153391813
GMTUSDT,0.0024754724781699267,0.0012377362390849633,0.0,0.0,0.0019764218864587457,0.0009882109432293729,0.0,0.0,31.057973673102644,0.0,0.4381123425824108,1.0,0.16691499682935043,-0.0,0.22006212943045964,-0.0,0.9994432858729453,0.805214898453157,1.0,1.0,0.7800142386722088,,0.0068264357598311915,0.0,0.9994432858729453,1.0,0.0068264357598311915,0.0,binance,0.01597432162288127,0.0,-4903.042614440001,0.0,68762.06100556013,10000.0,68762.06100556013,10000.0,5.876206100556013,0.0,0.7718616237939909,,192.78333333333333,,0.30127811454250797,1.0,-27451.412042472642,0.0,22316,0,779.8319444444445,1904,0,24220,0,0,0,21186,0,0,0,1130,0,1904,0,58762.06100555997,0.0,0.043962606538347805,100.0,0.12355989474519782,100.0,0.010593034630771339,100.0,0.011056741085159364,1.0,63665.103619999965,0.0,91116.51566247261,0.0,0.17535308230421975,0.0,-0.5627271927753417,-0.9999999999999997,10000.0,GMTUSDT,0.007212694342041994,0.0,63667911.46693182,0.0
SUSHIUSDT,1.2211355560731718e-05,6.105677780365859e-06,0.0014373334549924177,0.0014373334549924177,1.2211355560731719e-06,6.105677780365859e-07,0.0004212954485671383,0.0004212954485671383,0.07855124897524908,8.418449568747409,0.0005715201796923501,2.0373117605224752e-07,1.7181633785101842,2.443961326680506,1.7731336621727996,2.7543583559772142,1.020370050293445,-0.7662373460103329,-1.7044054875978696,0.81907957463264,-0.7732794452360148,-1.7865401816812811,2.3404324897580717,0.48397989962096405,1.020370050293445,0.81907957463264,2.3404324897580717,0.48397989962096405,binance,0.9993164573699453,0.2089689995826628,-12.180794780000001,-2657.49180952,10164.568505220006,68203.730013422,-5183.989694779992,12899.520790480012,0.016456850522000632,5.8203730013422,0.23926282051282052,2.456545503021685,6.266666666666667,85.93333333333334,0.0,0.048651804576815456,0.0,-3112.4337909936876,44,5722,1336.7069444444444,61,5531,105,11253,0,0,43,4651,0,0,1,1071,61,5531,164.56850521999982,58203.73001342191,6.804824534368754,0.7115376606041485,7.815750119677807,0.7359062037332905,2.112969097341284,0.1329916282433531,1.7434604496626596,0.22440530317313526,176.74929999999983,60861.22182294191,176.74929999999983,63973.655613935596,-0.02491731482429583,-0.03487565986704287,-0.0238257463350647,-0.04185535151522734,10000.0,SUSHIUSDT,0.9992207468362322,0.17608004488498225,73022.49844759358,41122530.89276838
LTCUSDT,0.0013862143654841397,0.0006931071827420698,0.0,0.0,0.000648721300097943,0.0003243606500489715,0.0,0.0,9.70578007703126,0.0,0.33983050833624723,1.0,0.27606731788628264,-0.0,0.6365837873507723,-0.0,0.9996574426712933,0.661977665491073,1.0,1.0,0.5148690549109444,,0.006866307155103308,0.0,0.9996574426712933,1.0,0.006866307155103308,0.0,binance,0.010755317511249597,0.0,-7400.490311055999,0.0,88701.23250894384,10000.0,88701.23250894384,10000.0,7.870123250894384,0.0,2.4714763710872787,,145.36666666666667,,0.28940978999818656,1.0,-35067.583494789054,0.0,9372,0,1575.6590277777777,5921,0,15293,0,0,0,98,0,0,0,9274,0,5921,0,78701.23250894406,0.0,0.037809485419238176,100.0,0.3202023778798934,100.0,0.00747299444456194,100.0,0.010226041720134258,1.0,86101.72282000005,0.0,121169.30631478911,0.0,0.10703009933413841,0.0,-0.6387805558079674,-0.9999999999999998,10000.0,LTCUSDT,0.0024592114657429197,0.0,34963735.136775576,0.0
GALUSDT,0.004432608798104587,0.0022163043990522935,0.0016179048209601365,0.0016179048209601365,0.003908366692706289,0.0019541833463531445,0.001538581953810092,0.001538581953810092,7.232138260569463,20.78347401798806,0.1944257142336648,0.6079561341738577,0.23095402346811658,0.14190961303281985,0.7585517087947562,0.24626006686046478,0.9926799452998314,0.6639128585527362,0.7841433716173214,0.9962394768235261,0.24137420450450636,0.756170569856651,0.02898403858050828,0.016571777850174916,0.9926799452998314,0.9962394768235261,0.02898403858050828,0.016571777850174916,binance,0.11810900085571982,0.11734777289935117,-5471.229646580001,-1456.881821,250693.27477674402,32464.245779000015,202371.73165342063,32465.275779000014,24.069327477674403,2.2464245779000014,3.317464084551611,1.1547738582815872,40.86666666666667,55.55,0.1044108985842356,0.021477529522937217,-28698.71581258819,-525.0433584836009,2141,5457,728.4152777777778,3127,9682,5268,15139,0,0,722,4745,0,0,1419,712,3127,9682,240693.27477674346,22464.245778999953,0.11475807024716411,0.12303245197098803,0.6110692831824113,0.19603724828363378,0.013906763464532762,0.012491569825220832,0.017170303489622795,0.017694623658664248,246164.50442332347,23921.127599999953,274863.22023591166,24446.17095848355,0.1523425626979118,0.10573262289676272,-0.26388735068145086,-0.5201533350887143,10000.0,GALUSDT,0.06898129611622719,0.04861865812503575,100819894.57548808,23205878.357429836
