,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,sortino_ratio_long,sortino_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
APTUSDT,0.001238041574971982,0.000619020787485991,0.0011715835000880581,0.0011715835000880581,0.0011708401729361828,0.0005854200864680914,0.0007018107678409935,0.0007018107678409935,12.464373931217937,23.150294508835266,0.4088247325637866,0.7881816830606417,0.10446115875130678,0.03143382435094621,0.213547032266141,0.09521239980310614,0.9971104338063065,0.8150232998556571,0.9313896181416321,0.999552385707655,0.7867676217833688,0.9049529935275081,0.011682318463986418,0.0030397902912364053,0.9971104338063065,0.999552385707655,0.011682318463986418,0.0030397902912364053,binance,0.049609670330318725,0.027312507322347572,-1262.542045754,-855.895384096,22568.563264245917,21604.236684184245,22549.804064245916,21604.530684184247,1.2568563264245918,1.1604236684184244,1.920390698052608,1.0355899927769388,117.03333333333333,49.15,0.06609015427841579,0.06479112816793597,-978.7881431666855,-863.2781688926297,3934,6483,657.875,4266,8747,8200,15230,3763,6316,3903,6374,503,2431,31,109,0,0,12568.56326424599,11604.844615903994,0.07193651214598931,0.03444034132447301,0.11930880528238613,0.08678444205212817,0.018511390676734126,0.009220933484470641,0.013801375321190643,0.00664939754430281,13831.10530999999,12460.739999999994,14809.893453166675,13324.018168892624,0.11187565432653143,0.25133498606634097,-0.6972431480874418,-0.8979531444108577,10000.0,APTUSDT,0.009626345788473718,0.00512982900569981,5736200.311277975,4915378.431171353
AVAXUSDT,-0.04054972446728866,-0.02027486223364433,0.0004614889798066901,0.0004614889798066901,-0.02644037215415066,-0.01322018607707533,-0.002210321465231935,-0.002210321465231935,25.623970037453184,14.897378277153559,0.057784160633589994,0.08207229014205569,1.0000521596987908,0.5285348149296974,1.0000565601138665,0.798968630975227,-43.19321021590427,-729.4499999999999,0.23929735496994398,0.9925105629737526,-740.0,0.0,325.41521956066725,0.055518691243382934,-43.19321021590427,0.9925105629737526,325.41521956066725,0.055518691243382934,binance,230.86645784613066,0.03988426744053925,-4330.788245274926,-257.62895103702095,0.01,11664.75043869527,31.583000000000002,3319.6166238000114,-0.999999,0.16647504386952705,0.6767473589833548,1.6064339837725474,68.43333333333334,59.5,0.9767064932924377,2.4841827301329116,-125589.9780322836,-14272.889825539783,6716,2316,333.75,1835,2655,8552,4972,1477,1967,6702,2261,358,688,14,55,0,0,-1335.5885452748998,-8785.011551037023,0.6906442677606127,0.32544926384218786,0.7892214293321973,0.4414255653216392,0.14126202152887363,0.021436592599676122,0.19004990519313214,0.04694940274365059,2995.1997000000265,-8527.382600000003,128585.17773228363,5745.507225539781,-0.021443263359005104,-0.07063447454781518,-0.03936379805738475,-0.32800034349796453,10000.0,AVAXUSDT,0.3372862314317813,0.027462239420796404,39781230.30208153,3543315.382820639
XTZUSDT,-0.008370284996113031,-0.0041851424980565155,0.0018060544028564163,0.0018060544028564163,-0.0008370284996113031,-0.00041851424980565157,0.0009308816942322773,0.0009308816942322773,0.41432808578599134,11.609704160012168,0.0544814522407136,0.5879312636466077,1.0001656418705358,0.14080155707848174,1.0002019654366663,0.2643378352676196,612.69505761393,-224.10600000000005,0.7767639620166924,0.9972222269340602,-236.65000000000003,0.7640127022921367,795.5631631413302,0.014492067921227314,612.69505761393,0.9972222269340602,795.5631631413302,0.014492067921227314,binance,249.25212892839596,0.08651657489555628,-72.44798262,-10803.12239086,0.01,194102.0146091397,-1.9304000000000001,194059.6743091397,-0.999999,18.41020146091397,1.2012745098039215,2.0656691647887078,67.15,83.16666666666667,6.197641330898037,0.09205897105042733,-11037.9738,-19762.03937542195,233,7334,1643.625,447,11748,681,19082,233,6808,233,7234,214,4940,0,100,0,0,-9329.425882619991,184102.01460914005,0.8629472591831517,0.11104933731970133,0.8857268432040434,0.1909289363476371,0.4469191364260879,0.011000776766807269,0.25800228733274344,0.014651394878633112,-9256.97789999999,194905.13700000005,1780.9959000000085,214667.176375422,0.025161153021083953,0.13278943244684505,1.6044949208666357,-0.5664555908383436,10000.0,XTZUSDT,0.9786300953153518,0.03655445142973028,334961.4680843527,69294129.65086746
OCEANUSDT,0.0013830531926497525,0.0006915265963248762,0.0011753226499693348,0.0011753226499693348,0.0014457227748382096,0.0007228613874191048,0.0009475181643429531,0.0009475181643429531,25.8795531811559,10.718552695483243,0.2197598682658579,0.5109472321655402,0.03590221381182675,0.11650258342258119,0.32782531346048566,0.2911659982207062,0.9993651943023886,0.7967707546292273,0.7738498684420444,0.997860823419092,0.6723114930748872,0.7089757917246015,0.005168710002553227,0.010278072401404135,0.9993651943023886,0.997860823419092,0.005168710002553227,0.010278072401404135,binance,0.01794949704378211,0.06041703080417549,-3544.802679916,-1879.5003135860002,66669.29318008396,50147.26467146373,66675.95718008396,48821.430036413876,5.666929318008396,4.014726467146373,0.8985591494712346,2.1674777959035705,119.4,112.35,0.04491085975155085,0.10673594180012924,-2831.4287120167955,-5021.769655136275,12458,5524,1372.6666666666667,23066,9189,35524,14713,12278,4892,12431,5311,10788,4297,27,213,0,0,56669.29318008392,40147.26467146389,0.03621569861991024,0.08728062810943674,0.19594421663157124,0.22539268329363618,0.011161973510957301,0.01195781375597162,0.008239679517040284,0.016198507340040837,60214.09585999992,42026.76498504989,63045.524572016715,47048.53464018617,0.2605129223567591,0.1483085032851441,-0.8781338691715864,-0.7680459197632261,10000.0,OCEANUSDT,0.0017605099408104417,0.011200485657914707,46620946.84430822,13989984.181512907
RNDRUSDT,0.008557327301570439,0.004278663650785219,0.0,0.0,0.00012325336593944637,6.162668296972318e-05,0.0,0.0,8.289067894131184,0.0,0.2586763448317411,1.0,0.5210361455973845,-0.0,0.644193091254647,-0.0,0.9735162204937251,0.5566782624746589,1.0,1.0,0.46513314072288914,,0.05874990782601256,0.0,0.9735162204937251,1.0,0.05874990782601256,0.0,binance,0.31203205457737077,0.0,-85142.428150798,0.0,1023015.860079205,10000.0,1023015.860079205,10000.0,101.3015860079205,0.0,2.818344071687773,,335.3,,0.5519847518678943,1.0,-1353004.4630569536,0.0,2496,0,543.125,2006,0,4502,0,1264,0,2258,0,553,0,238,0,189,0,1013015.8600792012,0.0,0.20040386755435158,100.0,0.3650508948160108,100.0,0.025844142052955953,100.0,0.035294002715009105,1.0,1098158.2882299991,0.0,2451162.7512869528,0.0,0.18696034523701094,0.0,-0.0007406354408146067,-0.999999999999982,10000.0,RNDRUSDT,0.18157410248542497,0.0,989044243.3899422,0.0
SANDUSDT,0.0038295360894962105,0.0019147680447481052,0.0005518637145989214,0.0005518637145989214,0.00018954854145588617,9.477427072794309e-05,0.00023950459653145905,0.00023950459653145905,27.38924786766606,8.417678986818299,0.13383421822038422,0.22625519594779453,0.4935268546587174,0.2863027028272517,0.6735041165433484,0.6195133307265431,0.9968426322289412,0.40833974968756337,0.46269241923121457,0.9969737233301917,0.32664160487549193,0.38541959185516644,0.024243895095708474,0.02809943226702746,0.9968426322289412,0.9969737233301917,0.024243895095708474,0.02809943226702746,binance,0.04861381191839979,0.026526200078709528,-263137.132293634,-478.95644881000004,1382954.6029963647,20370.932681189923,1382876.0844963647,20369.360681189923,137.29546029963646,1.0370932681189924,0.8758035596323349,2.8480439121756485,86.83333333333333,98.3,0.4989526993467348,0.1362792726288709,-1629252.1417389018,-1711.9132977631461,17301,4393,1289.6666666666667,18022,6463,35323,10856,13273,4142,16952,4376,4384,2321,349,17,365,0,1372954.6029963633,10370.93268119,0.12259384825352841,0.1998477514680141,0.5073173250110873,0.3806942957804797,0.008575290556439285,0.01548414212967538,0.019187385888677376,0.02642876794543673,1636091.7352899974,10849.88913,3265343.8770288993,12561.802427763145,0.15564901011950044,0.04202234770274776,-0.22959987170996057,-0.5059369515443948,10000.0,SANDUSDT,0.026588698995250865,0.012115142312538364,3000599973.276225,3516366.3140445417
GMTUSDT,0.0010356281590360172,0.0005178140795180086,0.0005415918656501706,0.0005415918656501706,0.0008828199086945876,0.0004414099543472938,0.0002298111845824069,0.0002298111845824069,9.952138541319759,10.20333983538703,0.3330723323055097,0.467573111411109,0.3944877049645841,0.20136561347915743,0.49121297902402833,0.349263837657467,0.9872668185711234,0.5207866020787341,0.6705958510826002,0.996599485783698,0.5090307066171874,0.6572528010608334,0.053193893921064654,0.022432172857956123,0.9872668185711234,0.996599485783698,0.053193893921064654,0.022432172857956123,binance,0.07448271643895903,0.036535744555281184,-988.3481498160002,-378.69540409399997,24757.049430184226,16067.17446590524,24757.049430184226,16062.66310590524,1.4757049430184228,0.6067174465905241,2.402400076496462,2.3488994590561463,220.4,356.53333333333336,0.1324636414332608,0.02698964400272145,-2404.1559511200626,-178.79741156594088,3768,4261,875.7916666666666,4948,4675,8716,8936,3537,4099,3731,4248,1411,576,37,13,0,0,14757.049430184014,6067.174465905988,0.2387179820562604,0.16637339913735277,0.32530906098279616,0.2652508843355706,0.02541576917091438,0.02017796655059981,0.04006465122916089,0.02795938139096726,15745.397580000013,6445.869869999988,18149.553531120077,6624.6672815659285,0.0490411169950495,0.04643035992857918,-0.41669319941361826,-0.6349891861159253,10000.0,GMTUSDT,0.03220742150333016,0.024643196955280684,8027212.7132571535,2024532.0531945627
SUSHIUSDT,-0.009596866825063333,-0.004798433412531666,0.001669134094689051,0.001669134094689051,-0.0009596866825063333,-0.00047984334125316665,0.0009861574840675624,0.0009861574840675624,0.036993950674732434,9.504653327128898,0.05502835495297411,0.5093912387664128,1.0004512226444544,0.16261755053154367,1.0004719783053608,0.3445468976790091,583.5626129396746,-467.6839999999999,0.7101234493462572,0.9977315504656307,-472.61000000000007,0.6866450061631248,1432.6173328879263,0.01627441713340381,583.5626129396746,0.9977315504656307,1432.6173328879263,0.01627441713340381,binance,305.568263437897,0.052233213874034214,-9.43853716,-3503.56478694,0.01,109060.67511305906,-4.5116000000000005,109053.52521305905,-0.999999,9.906067511305906,0.3211538461538462,2.5233389639639636,3.7,99.91666666666667,562.9976591285009,0.026442062909604807,-9427.902500000002,-2785.668916445584,21,5622,1432.6666666666667,31,7995,53,13617,23,4783,21,5469,8,3212,0,153,0,0,-9420.595137160002,99060.67511305999,2.8551607391547877,0.12393740141110217,3.430465015210778,0.23766976870796475,0.9255236225452265,0.013122020574276385,0.6198361750129343,0.017561394421946687,-9411.156600000002,102564.23989999999,16.74590000000007,105349.90881644558,0.014807481116276321,0.12843394467951108,-0.0022301616309955844,-0.6212850376713352,10000.0,SUSHIUSDT,0.9992147738839611,0.021433764722989676,29151.4033,29733060.544583783
LTCUSDT,-0.008230659901617421,-0.0041153299508087104,0.0006931318807981146,0.0006931318807981146,-0.0008230659901617421,-0.00041153299508087104,0.0004673427163282451,0.0004673427163282451,0.42114708741494056,31.46937859866896,0.059242364599099456,0.399581802794025,0.9996880712600403,0.18069235802668343,1.0002442428514655,0.4068837649405155,4347.713409187138,-51.8315537899753,0.618575644531741,0.9966950073963664,-313.2240000000002,0.597387089039342,3696.7426824118975,0.02135960733263496,4347.713409187138,0.9966950073963664,3696.7426824118975,0.02135960733263496,binance,962.8673616535954,0.06718568157172267,-273.8820838886833,-2964.5663259860003,0.01,31843.723804013825,18.45016,31809.558904013826,-0.999999,2.1843723804013826,2.1276908487434802,0.7620146123235242,56.25,174.66666666666666,3.9129545624686966,0.012264352350430047,-12075.119289999997,-308.0354668681156,361,24198,1671.625,342,28407,704,52605,298,21531,356,24150,39,6876,5,48,5,0,-9263.067433888682,21843.723804013982,0.9074559369285141,0.14704654446465026,0.9256941061860692,0.2864006183009577,0.6037834553096986,0.010952648158740466,0.18044524425507938,0.020060589208437483,-8989.185349999998,24808.290129999983,3085.933939999999,25116.325596868097,0.049965765691230596,0.06085108985763481,-0.04207981865228461,-0.7366004238547934,10000.0,LTCUSDT,0.9647308075772681,0.028664007976071784,1477897.8644399438,21058114.45132599
GALUSDT,0.0034370339541553996,0.0017185169770776998,0.0027736542330858427,0.0027736542330858427,-0.00011199210896672973,-5.5996054483364865e-05,0.002043075521088111,0.002043075521088111,33.34897959183674,9.085714285714285,0.26686342538632596,0.42842477694252856,0.43721331405737973,0.12320336526759758,0.5725429012352689,0.23978385674623776,0.9928266333553621,0.5341291479379535,0.7841494978749621,0.9969480334563909,0.4773718919879955,0.7590555595337336,0.0336735295317639,0.014494106551215571,0.9928266333553621,0.9969480334563909,0.0336735295317639,0.014494106551215571,binance,0.0944465599686452,0.09906599858639059,-41000.3360621,-1983.42273042,164791.8983379001,96024.22216958085,164700.0858379001,96087.23896958085,15.47918983379001,8.602422216958086,0.7029381165699738,2.569827470009435,57.9,105.55,0.495846977133776,0.011434113047142988,-192566.50891740984,-1017.928469999295,12443,5055,816.6666666666666,14792,2365,27235,7420,12181,1160,12196,2275,2419,1205,247,2780,192,0,154791.8983379003,86024.22216958005,0.16345086993844077,0.10772890642475846,0.35374692657434353,0.19413418613648614,0.014031220759428283,0.012903831666204263,0.020077581023814278,0.015489289117064453,195792.23440000028,88007.64490000006,388358.7433174101,89025.57336999936,0.10382876255016936,0.16188844087937226,-0.18367223351334705,-0.4551028294015273,10000.0,GALUSDT,0.05652772817713382,0.04469159736748125,228544423.31239307,195603325.41701046
