,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,sortino_ratio_long,sortino_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
APTUSDT,-0.020781237202785463,-0.010390618601392732,0.0006988974407833304,0.0006988974407833304,-0.1206503013529467,-0.06032515067647335,0.0003793552329968808,0.0003793552329968808,21.738172145164356,15.008930267908037,0.0587741942615824,0.8157782891640301,1.0000027961768665,0.009946537363688192,1.0000125530603943,0.06291838120025818,4.288829601622584,-95.61499999999998,0.9515918319369143,0.9998045727488736,-109.24999999999997,0.937269069853575,20.155304361943617,0.0016006743786439897,4.288829601622584,0.9998045727488736,20.155304361943617,0.0016006743786439897,binance,13.10973729369836,0.012973157551260231,-3157.5045990101007,-529.680561202,0.01,15834.82533535792,-0.49939999999999984,15835.35013535792,-0.999999,0.583482533535792,1.0481293706293706,1.5979725851649278,96.4,61.25,1.0499203907853008,0.0003658450619812872,-86902.23704884353,-2.3295389959494526,12166,4647,657.875,2134,5227,14301,9874,1688,4275,12009,4646,446,952,157,1,0,0,-7289.430859009977,5835.546108797998,0.6045321897868183,0.03240081828145951,0.7730696855763862,0.059017754919416486,0.07867533074790456,0.009277107797834958,0.13514743886548064,0.007562117773530975,-4131.9262599998765,6365.226669999998,82770.31078884365,6367.556208995948,-0.02485684782630233,0.2658974085419611,-0.06975196162495957,-0.9647336394384224,10000.0,APTUSDT,0.2570614312856238,0.0017099430018999366,52493871.523214325,3568353.298344921
AVAXUSDT,0.010666366853882003,0.005333183426941002,0.0,0.0,0.011118330857927506,0.005559165428963753,0.0,0.0,35.32862799104837,0.0,0.08262404745387651,1.0,0.6952882022358157,-0.0,0.8982023510092061,-0.0,0.9720469811344756,0.1903739208609413,1.0,1.0,0.0,,0.10700769368018208,0.0,0.9720469811344756,1.0,0.10700769368018208,0.0,binance,0.12758068940120476,0.0,-4330.784885474926,0.0,130401.5749923737,10000.0,13318.618917740241,10000.0,12.04015749923737,0.0,0.6768265107212476,,68.43333333333334,,0.9767064932924377,1.0,-125589.9780322836,0.0,6716,0,242.04166666666666,1834,0,8551,0,1476,0,6702,0,358,0,14,0,0,0,-1335.5851854748998,0.0,0.5083497408762064,100.0,0.7530052955659827,100.0,0.03962529167121567,100.0,0.08907226642078901,1.0,2995.1997000000265,0.0,128585.17773228363,0.0,0.061010015012915725,0.0,-0.06134363183874007,-0.9999999999999988,10000.0,AVAXUSDT,0.08623063683304648,0.0,39781213.50308153,0.0
XTZUSDT,-0.008370284996113031,-0.0041851424980565155,0.0018060544028564163,0.0018060544028564163,-0.0008370284996113031,-0.00041851424980565157,0.0009308816942322773,0.0009308816942322773,6.232565214084722,11.609704160012168,0.031105489692022606,0.5879312636466077,1.0000171701363771,0.14080155707848174,1.000018001290845,0.2643378352676196,-60.87864679840307,-389.684,0.7767639620166924,0.9972222269340602,-395.05999999999995,0.7640127022921367,296.3714917289479,0.014492067921227314,-60.87864679840307,0.9972222269340602,296.3714917289479,0.014492067921227314,binance,183.29804618930575,0.08651657489555628,-14616.52708474,-10803.12239086,0.01,194102.0146091397,-3.7636999999999996,194059.6743091397,-0.999999,18.41020146091397,1.0950893292980572,2.0656691647887078,60.766666666666666,83.16666666666667,1.0091610697619735,0.09205897105042733,-230846.29882949553,-19762.03937542195,4561,7334,1643.625,5682,11748,10244,19082,4392,6808,4547,7234,1278,4940,14,100,12,0,-16712.128184740002,184102.01460914005,2.805046223914296,0.11104933731970133,3.3981981981981972,0.1909289363476371,0.9267550499397947,0.011000776766807269,0.8111631759607777,0.014651394878633112,-2095.6011,194905.13700000005,228750.69772949553,214667.176375422,0.028966064313894455,0.13278943244684505,0.23466019955451745,-0.5664555908383436,10000.0,XTZUSDT,0.7187183127154735,0.03655445142973028,59962494.929088466,69294129.65086746
OCEANUSDT,0.008771291813411075,0.0043856459067055376,0.0,0.0,0.009809654405803215,0.0049048272029016075,0.0,0.0,18.09378960709759,0.0,0.20590710929348924,1.0,0.2388460029223603,-0.0,0.6557946448503007,-0.0,0.9947082601989866,0.6781263223042668,1.0,1.0,0.0,,0.028918295239487347,0.0,0.9947082601989866,1.0,0.028918295239487347,0.0,binance,0.07102248483922324,0.0,-2459.62068157,0.0,55990.31410808798,10000.0,19276.179838088,10000.0,4.599031410808798,0.0,1.323650037369208,,33.516666666666666,,1.0637392523508438,1.0,-69078.96690639698,0.0,1528,0,197.25,2040,0,3569,0,1102,0,1318,0,735,0,210,0,203,0,-6598.832141569985,0.0,0.12985171960503478,100.0,0.4876008767307412,100.0,0.012582867004054548,100.0,0.02273250453486437,1.0,-4139.211459999984,0.0,64939.755446396994,0.0,0.10252380122831893,0.0,-0.062123492034068147,-1.0000000000000022,10000.0,OCEANUSDT,0.04920802534318902,0.0,32663863.930947773,0.0
RNDRUSDT,0.008557327301570439,0.004278663650785219,0.0,0.0,0.00012325336593944637,6.162668296972318e-05,0.0,0.0,8.289067894131184,0.0,0.2586763448317411,1.0,0.5210361455973845,-0.0,0.644193091254647,-0.0,0.9735162204937251,0.5566782624746589,1.0,1.0,0.46513314072288914,,0.05874990782601256,0.0,0.9735162204937251,1.0,0.05874990782601256,0.0,binance,0.31203205457737077,0.0,-85142.428150798,0.0,1023015.860079205,10000.0,1023015.860079205,10000.0,101.3015860079205,0.0,2.818344071687773,,335.3,,0.5519847518678943,1.0,-1353004.4630569536,0.0,2496,0,543.125,2006,0,4502,0,1264,0,2258,0,553,0,238,0,189,0,1013015.8600792012,0.0,0.20040386755435158,100.0,0.3650508948160108,100.0,0.025844142052955953,100.0,0.035294002715009105,1.0,1098158.2882299991,0.0,2451162.7512869528,0.0,0.18696034523701094,0.0,-0.0007406354408146067,-0.999999999999982,10000.0,RNDRUSDT,0.18157410248542497,0.0,989044243.3899422,0.0
SANDUSDT,0.0038295360894962105,0.0019147680447481052,0.002005933993606046,0.002005933993606046,0.00018954854145588617,9.477427072794309e-05,0.0008857973355718363,0.0008857973355718363,27.38924786766606,9.226415094339622,0.13383421822038422,0.467248648337348,0.4935268546587174,0.2066789600755433,0.6735041165433484,0.3323400457773062,0.9968426322289412,0.40833974968756337,0.7022098127489567,0.9980207762372855,0.32664160487549193,0.6670187802428943,0.024243895095708474,0.014272667116631516,0.9968426322289412,0.9980207762372855,0.024243895095708474,0.014272667116631516,binance,0.04861381191839979,0.04499820350460784,-263137.132293634,-6126.444788174001,1382954.6029963647,132552.6735818256,1382876.0844963647,132541.2035818256,137.29546029963646,12.255267358182559,0.8758035596323349,2.5983806802263687,86.83333333333333,98.03333333333333,0.4989526993467348,0.15036612575647557,-1629252.1417389018,-22773.3157558993,17301,6061,1289.6666666666667,18022,5838,35323,11899,13273,3964,16952,5977,4384,1806,349,84,365,68,1372954.6029963633,122552.67358182598,0.12259384825352841,0.11038219163814353,0.5073173250110873,0.2497854412855217,0.008575290556439285,0.012407595294220586,0.019187385888677376,0.016341274474931732,1636091.7352899974,128679.11836999998,3265343.8770288993,151452.43412589928,0.15564901011950044,0.1492446594844862,-0.22959987170996057,-0.5458487959077841,10000.0,SANDUSDT,0.026588698995250865,0.02513488191774626,3000599973.276225,69632477.1567727
GMTUSDT,0.0010356281590360172,0.0005178140795180086,0.0005415918656501706,0.0005415918656501706,0.0008828199086945876,0.0004414099543472938,0.0002298111845824069,0.0002298111845824069,9.952138541319759,10.20333983538703,0.3330723323055097,0.467573111411109,0.3944877049645841,0.20136561347915743,0.49121297902402833,0.349263837657467,0.9872668185711234,0.5207866020787341,0.6705958510826002,0.996599485783698,0.5090307066171874,0.6572528010608334,0.053193893921064654,0.022432172857956123,0.9872668185711234,0.996599485783698,0.053193893921064654,0.022432172857956123,binance,0.07448271643895903,0.036535744555281184,-988.3481498160002,-378.69540409399997,24757.049430184226,16067.17446590524,24757.049430184226,16062.66310590524,1.4757049430184228,0.6067174465905241,2.402400076496462,2.3488994590561463,220.4,356.53333333333336,0.1324636414332608,0.02698964400272145,-2404.1559511200626,-178.79741156594088,3768,4261,875.7916666666666,4948,4675,8716,8936,3537,4099,3731,4248,1411,576,37,13,0,0,14757.049430184014,6067.174465905988,0.2387179820562604,0.16637339913735277,0.32530906098279616,0.2652508843355706,0.02541576917091438,0.02017796655059981,0.04006465122916089,0.02795938139096726,15745.397580000013,6445.869869999988,18149.553531120077,6624.6672815659285,0.0490411169950495,0.04643035992857918,-0.41669319941361826,-0.6349891861159253,10000.0,GMTUSDT,0.03220742150333016,0.024643196955280684,8027212.7132571535,2024532.0531945627
SUSHIUSDT,-0.009596866825063333,-0.004798433412531666,0.001669134094689051,0.001669134094689051,-0.0009596866825063333,-0.00047984334125316665,0.0009861574840675624,0.0009861574840675624,1.1063285248953,9.504653327128898,0.048862201937208735,0.5093912387664128,1.0001125716562298,0.16261755053154367,1.0001305223087034,0.3445468976790091,1799.5336328210585,-292.38800000000003,0.7101234493462572,0.9977315504656307,-302.24000000000007,0.6866450061631248,2870.539026191485,0.01627441713340381,1799.5336328210585,0.9977315504656307,2870.539026191485,0.01627441713340381,binance,283.6618664548286,0.052233213874034214,-582.9067286103488,-3503.56478694,0.01,109060.67511305906,-2.593400000000001,109053.52521305905,-0.999999,9.906067511305906,0.4428240740740741,2.5233389639639636,59.083333333333336,99.91666666666667,1.6172465883927276,0.026442062909604807,-22318.99090686845,-2785.668916445584,903,5622,1432.6666666666667,681,7995,1585,13617,464,4783,879,5469,194,3212,24,153,23,0,-9101.28672861036,99060.67511305999,0.9542819966093298,0.12393740141110217,1.0982181660147763,0.23766976870796475,0.48784669698778155,0.013122020574276385,0.3172705589215823,0.017561394421946687,-8518.38000000001,102564.23989999999,13800.61090686844,105349.90881644558,0.029814134885865866,0.12843394467951108,0.13962468192464506,-0.6212850376713352,10000.0,SUSHIUSDT,0.9929329649556493,0.021433764722989676,7875039.003380358,29733060.544583783
LTCUSDT,-0.008230659901617421,-0.0041153299508087104,0.0008734504600118598,0.0008734504600118598,-0.0008230659901617421,-0.00041153299508087104,0.0005517672919558736,0.0005517672919558736,0.42114708741494056,3.929709115381739,0.059242364599099456,0.6911599692791338,0.9996880712600403,0.049011178306257196,1.0002442428514655,0.14372912413390218,4347.713409187138,-51.8315537899753,0.8776800179667973,0.9990850755117948,-313.2240000000002,0.8560145115414116,3696.7426824118975,0.00541598012629027,4347.713409187138,0.9990850755117948,3696.7426824118975,0.00541598012629027,binance,962.8673616535954,0.04347179726719206,-273.8820838886833,-1651.0381376660002,0.01,43035.67551233399,18.45016,43025.735552333994,-0.999999,3.3035675512333986,2.1276908487434802,6.103448538367845,56.25,138.2,3.9129545624686966,0.017515743241711075,-12075.119289999997,-618.3952221247937,361,3000,1671.625,342,3569,704,6569,298,2771,356,2942,39,759,5,58,5,39,-9263.067433888682,33035.675512334004,0.9074559369285141,0.05185170712951237,0.9256941061860692,0.12584830722741402,0.6037834553096986,0.01344120454606713,0.18044524425507938,0.011288299286089765,-8989.185349999998,34686.713650000005,3085.933939999999,35305.1088721248,0.049965765691230596,0.12747049756205162,-0.04207981865228461,-0.8521422650927768,10000.0,LTCUSDT,0.9647308075772681,0.015353938185443668,1477897.8644399438,8960560.358069437
GALUSDT,0.0034370339541553996,0.0017185169770776998,0.0023347689583124165,0.0023347689583124165,-0.00011199210896672973,-5.5996054483364865e-05,0.0013652807189873384,0.0013652807189873384,33.34897959183674,6.181224489795919,0.26686342538632596,0.6216472693114415,0.43721331405737973,0.11164694793328954,0.5725429012352689,0.2154389505676463,0.9928266333553621,0.5341291479379535,0.8089315210987911,0.9978610489394375,0.4773718919879955,0.7848245484115869,0.0336735295317639,0.011024779765744801,0.9928266333553621,0.9978610489394375,0.0336735295317639,0.011024779765744801,binance,0.0944465599686452,0.07943611616024623,-41000.3360621,-1677.16698356,164791.8983379001,67160.86081644027,164700.0858379001,67201.48681644027,15.47918983379001,5.716086081644026,0.7029381165699738,3.7776005547850207,57.9,105.73333333333333,0.495846977133776,0.12778972668831182,-192566.50891740984,-8620.50783109085,12443,2378,816.6666666666666,14792,2670,27235,5048,12181,1337,12196,2259,2419,1226,247,119,192,107,154791.8983379003,57160.86081644005,0.16345086993844077,0.08761027259087661,0.35374692657434353,0.17705849990830733,0.014031220759428283,0.01242008138638942,0.020077581023814278,0.013237299854506293,195792.23440000028,58838.02780000005,388358.7433174101,67458.5356310909,0.10382876255016936,0.15973769719636163,-0.18367223351334705,-0.5146180864136308,10000.0,GALUSDT,0.05652772817713382,0.025508902607009845,228544423.31239307,27145301.491607256
