,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,sortino_ratio_long,sortino_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
APTUSDT,0.0017865792917997059,0.0008932896458998529,0.0,0.0,0.0035149773796403494,0.0017574886898201747,0.0,0.0,20.83979386063186,0.0,0.41162567781557086,1.0,0.16668792314880276,-0.0,0.2761421790793138,-0.0,0.9978393656269176,0.7602095418901627,1.0,1.0,0.6916263093701741,,0.01631784374629844,0.0,0.9978393656269176,1.0,0.01631784374629844,0.0,binance,0.028302774024595873,0.0,-1151.96889655,0.0,27068.85333344995,10000.0,27063.50253344995,10000.0,1.7068853333449954,0.0,1.1479641577060933,,95.53333333333333,,0.06231357522924931,1.0,-1210.8574324785309,0.0,5392,0,557.875,6234,0,11626,0,5078,0,5381,0,1156,0,11,0,0,0,17068.85333345002,0.0,0.09203502205700605,100.0,0.1698166145929594,100.0,0.012651846963271622,100.0,0.012028169041665137,1.0,18220.82223000002,0.0,19431.67966247855,0.0,0.11618793152401036,0.0,-0.5551901734291679,-0.9999999999999816,10000.0,APTUSDT,0.01262135922330097,0.0,8232024.035932515,0.0
AVAXUSDT,0.0006175443881222265,0.0003087721940611132,-0.010461647341059255,-0.010461647341059255,0.0006352587661934805,0.00031762938309674025,-0.0010461647341059254,-0.0010461647341059254,19.312357269728494,3.784826186247145,0.3714790583253138,0.055012116782581943,0.02048954711332244,0.9999992893152517,0.16084864921033504,0.9999992893152524,0.9997083227211441,0.8794276464232139,0.23929735496994398,0.9980970573117679,0.8394603652466938,0.0,0.003464919012335994,0.02817314794486034,0.9997083227211441,0.9980970573117679,0.003464919012335994,0.02817314794486034,binance,0.006913888020888422,0.01013393594678423,-1532.3099833,-257.62895103702095,22501.504716700576,0.01,22498.894716700575,0.01,1.2501504716700578,-0.999999,1.2415500545284928,1.6064339837725474,104.95,59.5,0.008169267139616514,2.4841827301329116,-115.59026905885892,-14272.889825539783,11934,2316,1313.6666666666667,13436,2655,25370,4972,11978,1967,11924,2261,1458,688,10,55,0,0,12501.504716699972,-8785.011551037023,0.04020485848225725,0.14615375844292636,0.0872440038357479,0.4414255653216392,0.013807193844023909,0.021436592599676122,0.01007343981684003,0.04694940274365059,14033.814699999972,-8527.382600000003,14149.40496905883,5745.507225539781,0.17274495109632126,-0.0362789901117166,-0.9552106865848534,-0.3317748426478707,10000.0,AVAXUSDT,0.0026324970661930286,0.006977703067017667,5112521.23336149,3543315.382820639
XTZUSDT,-0.008910110863647236,-0.004455055431823618,0.0012684228799919595,0.0012684228799919595,-0.0008910110863647236,-0.0004455055431823618,0.0008731659243790491,0.0008731659243790491,0.44116932545145354,22.086322779172402,0.0544814522407136,0.6594418544568684,1.0001639650125398,0.14040024983568863,1.0001756198924876,0.24837445512516856,658.7271958743888,-204.80000000000004,0.8571529645131832,0.998523697310142,-205.78000000000006,0.816531108087326,799.3439886214379,0.009463418955969973,658.7271958743888,0.998523697310142,799.3439886214379,0.009463418955969973,binance,248.89273326402437,0.05199200785965806,-72.44798262,-4152.85578322,0.01,70761.39924894014,-0.1860000000000002,70767.03744894014,-0.999999,6.076139924894014,1.2012745098039215,1.0859752043490163,67.15,113.18333333333334,6.197641330898037,0.10196735816424209,-11037.9738,-7371.924554625513,233,11663,1543.625,447,22430,681,34093,233,11156,233,11572,214,11274,0,91,0,0,-9329.425882619991,60772.126116780084,0.8634447444677483,0.07884464152305658,0.8857268432040434,0.15501920269668013,0.459371230164719,0.00979684064106564,0.25884137088086473,0.0095903997477448,-9256.97789999999,64924.981900000086,1780.9959000000085,72296.9064546256,0.025874785584245507,0.13917793529923247,1.659004249797404,-0.7275689566854813,10000.0,XTZUSDT,0.9772457352623624,0.023564025048585617,334961.4680843527,38000884.49408301
OCEANUSDT,0.0028478742423210246,0.0014239371211605123,0.0,0.0,0.0028838147616867538,0.0014419073808433769,0.0,0.0,13.668150864326872,0.0,0.1901347581812541,1.0,0.13943620219293087,-0.0,0.3889040687429347,-0.0,0.9983579474976196,0.6898302068937701,1.0,1.0,0.6111428795231383,,0.011217141562392173,0.0,0.9983579474976196,1.0,0.011217141562392173,0.0,binance,0.04184508804578401,0.0,-15603.975412624,0.0,373093.32131681684,10000.0,372865.0831168168,10000.0,36.309332131681685,0.0,1.7551387451611666,,116.61666666666666,,0.09387278922644735,1.0,-39231.99558327381,0.0,5378,0,1272.6666666666667,12017,0,17395,0,4528,0,5288,0,7489,0,90,0,0,0,363091.26762737666,0.0,0.053256140352745576,100.0,0.24134651576150778,100.0,0.010394342378591073,100.0,0.010210817882368618,1.0,378695.24304000067,0.0,417927.2386232745,0.0,0.1962895705421909,0.0,-0.4847554623428655,-0.9999999999999731,10000.0,OCEANUSDT,0.006220330659682436,0.0,297478782.6649716,0.0
RNDRUSDT,0.005065843984430218,0.002532921992215109,0.0008536315828890917,0.0008536315828890917,0.00825656688339942,0.00412828344169971,0.0011695140379858414,0.0011695140379858414,5.582478514000554,6.662600499029664,0.4091242200540511,0.7143163224889449,0.08774666466651809,0.07540253504373255,0.20761298316079838,0.1362671263486718,0.9983762651009472,0.8175940852603196,0.8847319839715091,0.9979686352123003,0.7934287364387009,0.8314215827309154,0.010303542520054287,0.008282397764891297,0.9983762651009472,0.9979686352123003,0.010303542520054287,0.008282397764891297,binance,0.05314226180370065,0.0560879357546675,-2030.762388516,-195.527973164,97600.40198395183,14691.984206836041,97547.25750395183,14691.984206836041,8.760040198395183,0.4691984206836042,4.291593799682035,3.5941724941724944,69.45,114.31666666666666,0.0012718220625514884,0.061110935511600475,-114.13934667210674,-318.12112095148626,890,1275,450.875,1627,1729,2517,3004,701,1198,885,1255,926,531,5,20,0,0,87599.84325148405,4691.984206836001,0.052996971683368733,0.08415115173606648,0.11518129372527366,0.12345474236482258,0.009639247197718262,0.018290841888671663,0.009100186541895735,0.015305164988855893,89630.60564000005,4887.5121800000015,89744.74498667216,5205.633300951487,0.2541541175207591,0.1095360162663519,-0.3418963052364835,-0.8046375944260974,10000.0,RNDRUSDT,0.008593605618185179,0.011550545185732767,15881585.631918792,1281674.16697586
SANDUSDT,0.0014032308910567615,0.0007016154455283807,0.000586425587521644,0.000586425587521644,0.002230191100631207,0.0011150955503156034,0.00028828400569862466,0.00028828400569862466,35.21658727934996,8.896609694592323,0.2916323556954112,0.22625519594779453,0.07816933798925986,0.30275054267649004,0.24711082819862487,0.6195133307265431,0.9996338270880987,0.8140694887194536,0.46269241923121457,0.9967267018448077,0.7531531102311851,0.38541959185516644,0.00433048976078623,0.02924383369595809,0.9996338270880987,0.9967267018448077,0.00433048976078623,0.02924383369595809,binance,0.010849262172926309,0.028003309891696557,-3915.9327221760004,-468.7071610500001,53026.50821782467,20086.171368949985,53011.33011782467,20085.808668949983,4.302650821782467,1.0086171368949985,0.6808318415085333,2.6925225991369803,67.96666666666667,98.3,0.036318228936664615,0.13955672532802035,-1769.1175324646974,-1711.9132977631461,18920,4281,1189.6666666666667,22976,6303,41896,10584,18482,4030,18906,4264,4413,2273,14,17,81,0,43026.50821782399,10086.171368950001,0.03374791979157744,0.20883082570932232,0.14077495437645626,0.3806942957804797,0.009840352871526101,0.01568223593589027,0.007399917882124053,0.02744401063699547,46942.44093999999,10554.878530000002,48711.55847246469,12266.791827763147,0.1432409293594172,0.04312404082922344,-0.8717439475569935,-0.4883669260661674,10000.0,SANDUSDT,0.0013308584036703674,0.01313347108885231,24102869.187527385,3477828.26407816
GMTUSDT,0.0007942032186549763,0.00039710160932748817,0.0008992409124846112,0.0008992409124846112,0.001373507470204438,0.000686753735102219,0.0006539186497017679,0.0006539186497017679,9.298888232450723,8.123314893388475,0.4696363824789076,0.6211499875764427,0.02422156341042908,0.06908197166045339,0.06035648903810926,0.21395713808032504,0.9995894836532327,0.9468551850535822,0.7973403754763994,0.9992269231004333,0.9255257257600396,0.786115888961936,0.0027529111203468287,0.008621640321998717,0.9995894836532327,0.9992269231004333,0.0027529111203468287,0.008621640321998717,binance,0.008849602361983953,0.01626086972373095,-420.57513098000004,-529.816813102,18513.06672901996,20083.432496898033,18511.37712901996,20083.432496898033,0.851306672901996,1.0083432496898035,2.5710314709552198,2.9513966037136963,107.76666666666667,99.78333333333333,0.00401317800613849,0.0,-35.99675641842089,0.0,3212,2994,775.7916666666666,4002,3308,7214,6302,3052,2645,3209,2994,950,663,3,0,0,0,8513.066729020002,10083.432496897998,0.05012443675954766,0.0702794207315298,0.09258390607789721,0.17616852288358073,0.012826526447450599,0.013905462353225822,0.011097112001041376,0.013726378742566188,8933.641860000002,10613.249309999997,8969.638616418422,10613.249309999997,0.1332956636212715,0.08537743231810076,-0.9022294732345124,-0.7148465499694177,10000.0,GMTUSDT,0.00037593984962406017,0.009613319011815252,2626055.5479991147,4053824.8276740173
SUSHIUSDT,-0.010313266094488127,-0.005156633047244064,0.00010928998301795723,0.00010928998301795723,-0.0010313266094488128,-0.0005156633047244064,6.907564054690064e-05,6.907564054690064e-05,0.03976988494247123,6.127563781890945,0.05502835495297411,1.0,1.000450009338668,0.10468217992894446,1.0004684430369555,0.2034087308683669,652.7249018580832,-464.675,0.8382751772564898,0.9983054490037316,-469.06999999999994,0.8300827165013538,1462.0487754179196,0.009782440766860473,652.7249018580832,0.9983054490037316,1462.0487754179196,0.009782440766860473,binance,305.54824881381717,0.016812305768985313,-9.43853716,-111.03710378,0.01,11567.786996220188,-2.9932999999999996,11565.507596220188,-0.999999,0.15677869962201885,0.3211538461538462,3.907660747091243,3.7,131.36666666666667,562.9976591285009,0.272867645071871,-9427.902500000002,-630.0046690979419,21,3597,1332.6666666666667,31,4569,53,8166,23,3593,21,3592,8,976,0,5,0,0,-9420.595137160002,1567.7869962199993,2.8247506731594836,0.20338798743416284,3.3197033898305084,0.33863978909301146,0.8924682608098465,0.03143259838067406,0.6116654664880793,0.03117961213761761,-9411.156600000002,1678.8240999999994,16.74590000000007,2308.8287690979414,0.01476357018295012,0.022234637502884264,-0.0014792465800681717,-0.8878846739713612,10000.0,SUSHIUSDT,0.9991558543067063,0.0,29151.4033,461889.4357542651
LTCUSDT,0.0011578437935524377,0.0005789218967762189,0.0007199060810467728,0.0007199060810467728,0.0008123342495643726,0.0004061671247821863,0.0005041229983549167,0.0005041229983549167,13.279249184760996,32.59301678199316,0.38311427091194805,0.399581802794025,0.1264950518055083,0.1877333506164386,0.21853419560708265,0.4068837649405155,0.9993311254105142,0.827974539915308,0.618575644531741,0.9965032171781794,0.7847587938049487,0.597387089039342,0.006646362011859554,0.022014020573254273,0.9993311254105142,0.9965032171781794,0.006646362011859554,0.022014020573254273,binance,0.01332003405326919,0.06969502906670846,-2736.1455555700004,-2853.6632523860003,61634.92631442975,30988.01212472792,61609.10327442975,30987.62129472792,5.163492631442975,2.098801212472792,1.8050529493507117,0.7358839453630855,110.68333333333334,174.66666666666666,0.035864924841055745,0.012754921034658128,-2022.5531218472843,-308.0354668681156,9390,23572,1571.625,11480,27652,20870,51224,9353,20958,9370,23524,2127,6694,20,48,0,0,51634.92631442996,20988.624597613987,0.053140913825912364,0.15175464385422635,0.14876833482884597,0.2864006183009577,0.009800175354797038,0.01121680912734089,0.00957580960962998,0.020641753065866998,54371.07186999996,23842.287849999986,56393.624991847246,24150.3233168681,0.047487576613772134,0.06148504737247538,-0.821031441028343,-0.7247490872076937,10000.0,LTCUSDT,0.0011664899257688229,0.03048780487804878,9675701.43798595,20558337.498578228
GALUSDT,0.0007345377008156628,0.0003672688504078314,0.0029411639445868776,0.0029411639445868776,0.0018838888288961408,0.0009419444144480704,0.003215837947160827,0.003215837947160827,17.495081967213114,9.827782571182054,0.45375695473823413,0.42842477694252856,0.015352727604086075,0.12799045474281,0.0363170182279708,0.23978385674623776,0.999737782283103,0.9661423879352263,0.7842364003193096,0.9966375628997044,0.9092327020636333,0.7590555595337336,0.0017936143260519537,0.0152769006565658,0.999737782283103,0.9966375628997044,0.0017936143260519537,0.0152769006565658,binance,0.0056853833333175025,0.10404483064636177,-526.87858652,-1718.40670756,17021.385413480308,83928.37629244034,16512.43881348031,83928.37629244034,0.7021385413480308,7.392837629244035,1.3701494107744108,2.4305820923480375,76.63333333333334,105.55,0.0,0.013192024470668636,0.0,-1011.2749767025958,6096,4907,724.375,6577,2212,12673,7119,6057,1079,6096,2128,520,1133,0,2779,0,0,7021.38541348,73928.37629244,0.05097826329594104,0.11164387592594145,0.07071724023909719,0.19413418613648614,0.015389482562871776,0.012995008334450322,0.012440399647345902,0.016190793496954063,7548.264,75646.78300000001,7548.264,76658.0579767026,0.08345538167626552,0.16369272067315271,-0.9129312327252622,-0.42828852086486346,10000.0,GALUSDT,5.7517542850569426e-05,0.05009777982284597,1825720.7738850866,192604904.06210658
