date,ALGOUSDT,APEUSDT,AVAXUSDT,CHZUSDT,COMPUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MATICUSDT,RNDRUSDT,SANDUSDT,SNXUSDT,SUSHIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT
2020-01-07,,,,,,,,,,,,,,,,,,,,,10003.734833716,
2020-01-08,,,,,,,,,,,,,,,,,,,,,10006.557174993999,
2020-01-09,,,,,,10002.10838604,,,,,,,,,,,,,,,10006.956243703999,
2020-01-10,,,,,,10045.171691899997,,,,,,,,10000.20147902,,,,,,,10006.936117091998,
2020-01-11,,,,,,10059.634353399997,,,,,,,,9998.201536198,,,,,,,10014.073577895999,
2020-01-12,,,,,,10059.609938679998,,,,,,,,10022.144061529998,,,,,,,10014.480718251998,
2020-01-13,,,,,,10075.84380562,,,,,,,,10026.474491707997,,,,,,,10015.278193651999,
2020-01-14,,,,,,10317.925039559996,,,,,,,,10065.90204938201,,,,,,,10032.766890085994,
2020-01-15,,,,,,10354.027738619992,,,,,,,,10083.545232134007,,,,,,,10040.996366863996,
2020-01-16,,,,,,10405.465582480003,10018.909094318004,,,,,,,10095.049826530007,,,,,,,10042.185453653996,
2020-01-17,,,,,,10448.399465260007,10193.722893756005,,,,,,,10123.473686288,,,,,,,10051.810194803997,
2020-01-18,,,,,,10460.714779780006,10205.049180696005,,,,,,,10133.807116068,,,,,,,10061.325146257996,
2020-01-19,,,,,,10466.593324780008,10226.633959776012,,,,,,,10144.541574238005,,,,,,,10064.332766899997,
2020-01-20,,,,,,10478.412978720009,10241.413416818014,,,,,,,10149.033798058003,,,,,,,10066.700978011997,
2020-01-21,,,,,,10479.485578560008,10246.849518198018,,,,,,,10153.50980734401,,,,,,,10072.080388525997,
2020-01-22,,,,,,10483.194582560009,10259.985632574015,,,,,,,10157.44288048201,,,,,,,10073.270751287997,
2020-01-23,,,,,,10492.978523560014,10265.082769162012,,,,,,,10161.215644284015,,,,,,,10076.063890743997,
2020-01-24,,,,,,10494.079849960013,10276.584214114015,,,,,,,10169.761813052015,,,,,,,10078.042617984001,
2020-01-25,,,,,,10512.847310320016,10281.696531666015,,,,,,,10175.750690906016,,,,,,,10080.142244504,
2020-01-26,,,,,,10512.821784160016,10282.552100938015,,,,,,,10175.951802762016,,,,,,,10080.121996916,
2020-01-27,,,,,,10549.599669780016,10403.899058008014,,,,,,,10175.951802762016,,,,,,,10085.160878844,
2020-01-28,,,,,,10587.344367120015,10435.42789045202,,,,,,,10204.99352818602,,,,,,,10089.078445324,
2020-01-29,,,,,,10597.147225900015,10459.493468028015,,,,,,,10218.011495770015,,,,,,,10090.261056628,
2020-01-30,,,,,,10636.527100320014,10465.891291054017,,,,,,,10248.43940854202,,,,,,,10091.041930376,
2020-01-31,,,,,,10644.726313220013,10473.17894436202,,,,,,,10266.679160286023,,,,,,,10097.031697820003,
2020-02-01,,,,,,10649.588219440011,10485.164756950018,,,,,,,10280.248242978023,,,,,,,10097.011433972002,
2020-02-02,,,,,,10652.919176040012,10485.139676950019,,,,,,,10291.75263079202,,,,,,,10112.067980910004,
2020-02-03,,,,,,10671.033913640007,10489.869694498017,,,,,,,10298.841649132013,,,,,,,10113.276206318005,
2020-02-04,,,,,,10674.309197340008,10491.608852562018,,,,,,,10303.139267802013,,,,,,,10114.469619948008,
2020-02-05,,,,,,10674.15553494001,10491.523038906018,,,,,,,10304.015208304012,,,,,,,10139.728240510009,
2020-02-06,,,,,,10750.559196000004,10543.976112210019,,,,,,,10304.015208304012,,,,,,,10142.866903116006,
2020-02-07,,,,,,10760.473221780001,10548.338118324016,,,,,,,10304.015208304012,,,,,,,10145.309480120006,10004.5563917
2020-02-08,,,,,,10761.5938327,10554.822403276017,,,,,,,10301.954501586011,,,,,,,10150.726443530008,10042.590355440001
2020-02-09,,,,,,10760.669626600002,10560.433169280019,,,,,,,10326.138187550014,,,,,,,10153.240703420006,10118.364904160006
2020-02-10,,,,,,10845.173897400004,10567.804410376017,,,,,,,10330.765965128017,,,,,,,10154.438527248009,10147.66899302001
2020-02-11,,,,,,10846.286693860005,10571.291784748018,,,,,,,10340.056053024016,,,,,,,10155.619227094008,10193.724797440014
2020-02-12,,,,,,10873.073967995962,10571.205349230018,,,,,,,10344.266123992018,,,,,,,10155.557263028008,10318.323535420017
2020-02-13,,,,,,10928.996120960013,10588.709611150018,,,,,,,10362.58165118202,,,,,,,10218.311294306013,10382.028481780028
2020-02-14,,,,,,10932.849179820012,10589.583087034018,,,,,,,10364.046299242018,,,,,,,10223.616859316011,10383.550131360027
2020-02-15,,,,,,10937.370732280013,10591.338720374017,,,,,,,10370.097172866019,,,,,,,10233.726237358009,10436.425403420031
2020-02-16,,,,,,10937.370732280013,10598.346744962015,,,,,,,10377.198699792018,,,,,,,10243.680585882008,10449.625188540038
2020-02-17,,,,,,10948.533969960014,10621.923748090012,,,,,,,10386.701801964018,,,,,,,10254.533780352012,10509.647520440052
2020-02-18,,,,,,10959.824504800014,10625.445164378014,,,,,,,10400.34868716002,,,,,,,10258.608901196012,10572.16106326006
2020-02-19,,,,,,10980.45302924001,10631.941125038016,,,,,,,10423.170054892023,,,,,,,10275.912767352012,10630.338525620064
2020-02-20,,,,,,10982.723033240009,10640.777176636015,,,,,,,10424.752486866022,,,,,,,10281.17433852801,10673.13084648007
2020-02-21,,,,,,10996.657106760009,10695.634923412017,,,,,,,10434.125799036025,,,,,,,10283.207563318007,10687.184618040072
2020-02-22,,,,,,11001.727117160011,10702.709587124018,,,,,,,10447.415185678024,,,,,,,10283.186795384006,10744.119845140074
2020-02-23,,,,,,11039.86583798001,10708.403302570016,,,,,,,10456.890375674024,,,,,,,10283.176456328007,10761.058096700073
2020-02-24,,,,,,11043.76288212001,10712.857615308018,,,,,,,10466.471344460024,,,,,,,10286.593770102007,10774.633605200079
2020-02-25,,,,,,11071.070821500009,10721.19326349402,,,,,,,10476.943907498024,,,,,,,10288.614895672006,10790.289421460078
2020-02-26,,,,,,11073.348903320008,10724.747046570017,,,,,,,10477.354180438024,,,,,,,10298.94110630801,10874.010216660081
2020-02-27,,,,,,11078.388793180007,10730.45210315002,,,,,,,10490.51911891003,,,,,,,10314.321116128009,10918.148228640075
2020-02-28,,,,,,11083.501231780008,10737.553125084023,,,,,,,10500.747468564025,,,,,,,10316.779831090007,11029.608291480083
2020-02-29,,,,,,11093.738640600006,10741.114251758025,,,,,,,10509.665396730028,,,,,,,10319.68763828001,11049.85689432009
2020-03-01,,,,,,11103.895974000006,10753.443946764028,,,,,,,10521.615632542032,,,,,,,10321.728600322009,11062.059974300086
2020-03-02,,,,,,11103.830329960007,10808.05418206202,,,,,,,10522.714923362033,,,,,,,10321.707888010009,11098.930651900084
