base,exchange_count,ace,ascendex,bequant,bigone,binance,binanceus,bingx,bit2c,bitbank,bitbay,bitbns,bitcoincom,bitfinex,bitfinex2,bitflyer,bitget,bitmart,bitmex,bitopro,bitrue,bitso,bitstamp,bitvavo,bl3p,btcalpha,btcbox,btcmarkets,btcturk,bybit,cex,coinbaseprime,coinbasepro,coincheck,coinex,coinlist,coinmate,coinone,coinsph,coinspot,cryptocom,currencycom,delta,deribit,digifinex,exmo,fmfwio,gate,gateio,gemini,hitbtc,hitbtc3,hollaex,htx,huobi,huobijp,independentreserve,indodax,kraken,kucoin,kuna,latoken,lbank,luno,lykke,mercado,mexc,ndax,novadax,oceanex,okcoin,okx,p2b,paymium,phemex,poloniex,probit,timex,tokocrypto,upbit,wavesexchange,wazirx,whitebit,woo,yobit,zaif,zonda
ZETA,36,,X,,,,,X,,,,,,X,X,,X,X,,,X,,X,X,,,,,,X,X,X,X,,X,X,,X,X,,X,,,,,,,X,X,,X,X,,X,X,,,X,,X,,X,X,,,X,X,,X,,,X,,,X,X,,,,X,,,X,,,,
FLR,36,,,,,,,X,,X,X,,,X,X,,,X,,,X,,X,X,,,,X,X,X,X,X,X,,X,,,,,,X,,,,X,,,X,X,,X,X,,X,X,X,,X,X,X,,,X,,,,X,,X,,,X,,,X,X,X,,,,,,,,,,X
ETHW,36,,X,X,X,,,X,,,X,,X,X,X,,X,X,,,X,,,,,,,,X,X,X,,,,X,,,,,,X,,,,,,X,X,X,,X,X,,X,X,,,,X,X,X,,X,,,,X,,X,,,X,,,X,X,,,,,,,X,X,X,,X
ONDO,36,,X,,,,,X,,,,,,,,,X,X,,,X,,X,X,,,,X,X,X,X,X,X,,X,X,,X,,,X,,,,,,,X,X,,,,,X,X,,,X,X,X,,X,X,,,X,X,,X,,,X,,,X,X,,,X,X,,X,,X,,,
MEW,34,,X,,X,,,X,,,,,,X,X,,X,X,,,X,,,X,,,,,,X,,,,,X,,,X,X,,,,,,,,,X,X,,X,X,,X,X,,,X,X,X,,X,X,,,,X,,X,,,X,X,,X,X,X,,,X,,X,X,,,,
CRO,31,,X,,,,,X,,,,,X,,,,X,X,,,X,,,X,,,,,,,X,X,X,,X,,,X,,,X,,,,X,,X,X,X,,X,X,,X,X,,,X,,X,,X,X,,,,X,,X,,,X,,,X,,X,,,X,,,,,,,
BLAST,30,,X,,,,,X,,,,,,X,X,,X,X,,,X,,,X,,,,,,X,,X,X,,X,,,X,,,X,,,,X,X,,X,X,,,,,X,X,,,,,X,,,X,,,X,X,,X,,,,,,X,X,X,,,X,,,,X,,,
XDC,29,,,X,,,,X,,,,,X,X,X,,X,X,,,X,,X,,,,,,,X,X,,,,X,,,,X,,,,,,X,,X,X,X,,X,X,,X,X,,,X,,X,,,X,,,,X,,,,,,,,X,X,X,,,,,,X,,,,
ATH,27,,X,,X,,,X,,,,,,X,X,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,X,X,,,X,X,,X,,,X,,,X,,,,,X,,,X,,,,
BIGTIME,26,,X,,,,,X,,,,,,,,,X,X,,,X,,,X,,,,,,,,X,X,,X,,,X,,,X,,,,,,,X,X,,X,X,,,,,,,X,X,,X,X,,,,X,,X,,,X,,,X,X,,,,X,,X,,,,,
WEN,25,,X,,,,,X,,,,,,,,,X,X,,,X,,X,,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,X,X,,X,X,,,,X,X,,,X,,,X,X,,X,,,,,,X,X,,,,,,,,X,,,
VRA,25,,X,,,,,X,,,,X,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,X,,X,,X,,,,,X,,X,,,X,,,X,X,X,,,,,,,,X,,
SAFE,25,,,,,,,X,,,,,,,,,X,X,,,X,,,X,,,,,,X,,X,X,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,X,X,X,,X,X,,,X,X,,X,,,X,,,X,X,,,,,,,,,,,
NFT,24,,X,,,,,X,,,,,X,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,,,,,,,X,X,X,,X,X,,X,X,,,,,X,,X,,,,X,X,,X,,,X,,,,X,X,,,,,,,,,,
DEGEN,24,,X,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,X,,X,X,,X,,,,X,,X,,,,,X,,X,X,,,,,X,X,,,X,,X,,,X,,,,X,,X,,,X,,,X,X,,,,,,,,X,,,
BRETT,24,,X,,,,,X,,,,,,,,,X,X,,,X,,,X,,,,,,X,,,,,X,,,X,X,,,,,,X,,,X,X,,,,,X,X,,,X,,X,,X,X,,,,,,X,,,,,,X,X,,,,X,,,,X,,,
POPCAT,23,,,,,,,X,,,,,,,,,,,,,X,,,X,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,X,X,,X,X,,,X,X,X,,X,X,,,X,X,,X,,,,,,X,X,,,,,,,,X,,,
DRIFT,23,,X,,,,,X,,,,,,,,,X,X,,,X,,,X,,,,,,X,,X,X,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,,,,X,X,,X,,,,,,X,X,,,,,,X,,,,,
